idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
1,10174515,Health services management research,Programme budgeting revisited: special reference to people with learning disabilities.,"The recent reorganization of community care in the UK removed many of the perverse incentives identified in the previous system. However, the organization of care for many people is still divided across several agencies in the public and independent sectors. As purchasing and providing agencies in both the National Health Service and local authority personal social services attempt to coordinate policy objectives and the means to achieve them, the total resources available and their allocation across different care groups and among people in the same care groups from a consistent focus of attention. The principles and practice of programme budgeting provide important lessons for planning and monitoring expenditure. This paper rehearses such principles in the specialized area of policies for people with learning disabilities and draws on the experience of mapping expenditure on relevant services in a survey over 10 local authorities in England.",Non-systematic-review,1,0
2,1308085,African journal of medicine and medical sciences,Alzheimer's disease in Nigeria.,"The age-related dementias of the elderly (those aged 65 years or more) are of major public health importance in developed countries. Developing countries, most of which are undergoing epidemiological transition and greying of population, currently contain more than half of the world's population of elderly, a proportion that would reach 75% by 2020. Apart from reports from China, there is little or no information on the dementias of the elderly in developing countries. Alzheimer's disease, which accounts for two-thirds of dementia of the elderly in Caucasian population, is under-documented and believed to be rare in black Africans. But black Americans who are of black African lineage commonly suffer from Alzheimer's disease. A recent autopsy survey of the brains of elderly Nigerians showed absence of senile plaques and neurofibrillary tangles, the pathognomonic histologic lesions of Alzheimer's disease and ageing found in 25% to 80% of normal undemented elderly Caucasians and Japanese. In a community-based door-to-door survey of a population of 9000, including 932 elderly Nigerians, no subject with dementia as defined by DSM-IIIR was found, although there was significant decline of cognition with age, female sex and less than 6 years of formal education. The distribution of cognitive scores is a highly skewed unimodal curve. We emphasize the potential value of cross-cultural epidemiological studies of ethnic groups in different environments and with different prevalence ratios of Alzheimer's disease, in identifying putative environmental factors for this disease.",Non-systematic-review,1,0
3,2664852,"Psychotherapie, Psychosomatik, medizinische Psychologie",[The patient with psychogenic and psychosomatic pain. Outline of psychoanalytically oriented nosology].,"Starting with the contribution of G. L. Engel (1959) a systematization of the psychodynamic conceptions of pain and pain disorder is given. Four different explanations for the genesis and maintenance of pain states are worked out: (1) The narcissistic mechanism (substitution), (2) the conversion mechanism (symbolization), introduced by S. Freud himself, (3) the psychovegative mechanism (resomatization), and (4) learning principles. These four conceptions are presented. Finally concern is expressed as the conceptual range of three of these explanatory principles is thought to cover a relevant range by far not reached by other pain theories more en vogue.",Non-systematic-review,1,0
4,12697002,CNS drugs,The triptan formulations : how to match patients and products.,"The 5-HT(1B/1D) receptor agonists (the 'triptans') are migraine-specific agents that have revolutionised the treatment of migraine. They are usually the drugs of choice to treat a migraine attack in progress. Different triptans are available in various strengths and formulations, including oral tablets, orally disintegrating tablets, nasal sprays and subcutaneous injections. In Europe, sumatriptan is also available as a suppository. Specific differences among the triptans exist, as evidenced by different pharmacological profiles including half-life, time to peak plasma concentrations, peak plasma concentrations, area under the concentration-time curve, metabolism and drug-drug interaction profiles. How or whether these differences translate to clinical efficacy and tolerability advantages for one agent over another is not well differentiated. However, delivery systems may play an important role in onset of action. Given that the clinical distinctions among these agents are subtle, identification of the most appropriate triptan for an individual patient requires consideration of the specific characteristics of the patient and knowledge of patient preference, an accurate history of the efficacy of previous acute-care medications and individual features of the drug being considered. The selection of an acute antimigraine drug also depends upon the stratification of the patient's migraine attack by peak intensity, time to peak intensity, level of associated symptoms such as nausea and vomiting, time to associated symptoms, comorbid diseases and concomitant treatments that might cause drug-drug interactions. Individual patient response to the triptans seems to be idiosyncratic and possibly genetically determined. Therefore, a set of specific questions can be used to determine whether a currently used triptan is optimally effective, whether the dose needs to be increased or whether another triptan should be tried. The clinician has in his/her armamentarium an ever-expanding variety of triptans, available in multiple formulations and dosages, which have good safety and tolerability profiles. Continued clinical use will yield familiarity with the various triptans, and it should become possible for the interested physician to match individual patient needs with the specific characteristics of a triptan to optimise therapeutic benefit. Use of the methods outlined in this review in choosing a triptan for an individual patient is probably more likely to lead to migraine relief than making an educated guess as to which triptan is most appropriate.",Non-systematic-review,1,0
5,2916270,The Urologic clinics of North America,Semirigid and malleable rod penile prostheses.,"Rod penile prosthesis implantation has a high functional success rate, and the devices have a low mechanical failure rate. The rods are easily implanted. Transient problems, such as pain or penile edema lasting longer than 4 weeks, occur in 10 to 15 per cent of patients, and serious complications such as infection or prosthesis erosion occur in 1 to 5 per cent.",Non-systematic-review,1,0
6,3489155,Medicine,Renal disease from habitual antipyretic analgesic consumption: an assessment of the epidemiologic evidence.,"The quantitative evidence relating habitual antipyretic analgesic consumption to the development of renal disease is reviewed. For purposes of analysis, 'abuse' of analgesics is defined as regular, usually daily consumption. The prevalence of habitual consumption demonstrates marked geographic variation for poorly defined reasons. Prevalence tended to be highest in those populations in which phenacetin was available and popular. The prevalence of nephropathy among habitual consumers also shows marked interpopulation variability. A highly significant linear relationship exists between the prevalence of habitual analgesic consumption in a given population and the prevalence of nephropathy in the subset of that population that habitually consumes analgesics. This relationship may represent a dose-response curve relating amount of analgesic intake to prevalence of nephropathy. Four cross-sectional studies, 1 longitudinal, and 1 case-control study have shown significant differences in prevalence of nephropathy between habitual users of phenacetin-containing analgesics and control populations. Conversely, 2 cross-sectional studies and 1 case control study showed no difference between habitual users of analgesics and control populations. However, those studies showing no difference were performed in populations with low prevalence of habitual consumption of compound analgesics and a lower prevalence of nephropathy than was found in those populations where differences were observed. The relative risk for developing various manifestations of analgesic nephropathy has been estimated in 4 studies and varies depending on which abnormality is considered. Data are available only for subjects consuming phenacetin-containing compound analgesics. The relative risk for elevated serum creatinine is in the range of 8 to 11, about twice that for an abnormal renal concentrating test (approximately 4). The relative risk for clinical papillary necrosis is approximately 18, and for cause-specific death (and by inference for end-stage renal disease) about 4. The difference in risk between most clinical manifestations of analgesic nephropathy and death (or end-stage renal disease) may be due to the fact that most patients with nephropathy do not progress to terminal renal failure. Rheumatology clinic studies indicate that the prevalence of nephropathy in habitual consumers of phenacetin-containing compounds is higher than that for habitual consumers of aspirin alone. Removal of phenacetin from compound analgesics in Scandinavian countries appears to have reduced the prevalence of papillary necrosis and death from interstitial nephritis.(ABSTRACT TRUNCATED AT 400 WORDS)",Non-systematic-review,1,0
7,14604504,Current pain and headache reports,"Diagnosis, epidemiology, and impact of tension-type headache.","Although tension-type headache is the most prevalent headache and affects 78% of the general population, the substantial societal and individual burden associated with this primary headache has been overlooked. In contrast to migraine headache, there has been limited focus on tension-type headache. Most patients with the chronic form of tension-type headache, which affects 3% of the population, are left virtually without any specific treatment. Chronic tension-type headache differs from the episodic form in frequency, lack of effect to most treatment strategies, more medication overuse, and more loss of quality of life. Daily or near daily headaches also constitute a major diagnostic and therapeutic problem and distinguishing chronic tension-type headache from migraine headache and from medication-induced headache is a substantial diagnostic challenge because management strategies are completely different. Considerable benefits for the society can be gained by specific strategies leading to reductions in the amount of sickness absence and impaired working abilities. The burden on the affected patients' and their families' quality of life also may be improved by a general acceptance of the disorder and by the development of a specific treatment strategy.",Non-systematic-review,1,0
8,36601776,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,The central role of peripheral inflammation in ischemic stroke.,"Stroke pathology and its treatments conventionally focus on the brain. Probing inflammation, a critical secondary cell death mechanism in stroke, has been largely relegated to the brain. To this end, peripheral inflammation has emerged as an equally potent contributor to the onset and progression of stroke secondary cell death. Here, we review novel concepts on peripheral organs displaying robust inflammatory response to stroke. These inflammation-plagued organs include the spleen, cervical lymph nodes, thymus, bone marrow, gastrointestinal system, and adrenal glands, likely converging their inflammatory effects through B and T-cells. Recognizing the significant impact of this systemic inflammation, we also discuss innovative stroke therapeutics directed at sequestration of peripheral inflammation. This review paper challenges the paradigm of a brain-centered disease pathology and treatment and offers a peripheral approach to our stroke understanding.",Non-systematic-review,1,0
9,17568334,Journal francais d'ophtalmologie,[Topiramate and acute myopia with angle-closure glaucoma: case report and literature review].,"Topiramate, an antiepileptic medication, has been widely used since its recent indication for migraine prophylaxis. We report a case of bilateral angle-closure glaucoma and acute myopia in a 44-year-old woman on oral topiramate therapy initiation for migraine prophylaxis. Intraocular pressure was 31 mmHg right and 32 mmHg left, myopia was 4 diopters. Topiramate was interrupted and general and local hypotensive treatment begun and rapidly stopped after improvement. Iridotomy was also performed. Fifteen days later, complete resolution was observed on ophthalmologic examination: anterior chambers were deep, myopia fully regressed, intraocular pressure returned to normal, and the visual field was complete. This new case prompts discussion on current reports in the literature and French drug monitoring database cases in this context.",Non-systematic-review,1,0
10,20031091,The Journal of clinical psychiatry,Pain and the brain 2: the recognition and management of chronic pain in primary care.,"Somatic symptoms are the foremost reason that individuals seek medical care, and most patients present with these symptoms in the primary care setting. Thus, clinicians must be able to recognize the manifestations of chronic pain as well as devise and implement an individualized treatment strategy that will relieve pain, manage any psychiatric comorbidities, and improve functioning and quality of life. This video includes 3 example patient cases and expert recommendations on accurately identifying, diagnosing, and treating the illnesses related to chronic pain, including comorbid depression and anxiety.",Non-systematic-review,1,0
11,7482011,Social psychiatry and psychiatric epidemiology,"Effectiveness, patient matching, and insurance coverage for depression.","The effectiveness of treatment for depression is not in doubt, and common humanity would indicate that it should be provided to those that need it. However, in this paper I argue that the existence of effective treatment should not be regarded as a sufficient condition for the extension of insurance cover. This is because insurance coverage cannot guarantee that treatment is delivered effectively, nor that it is given to the right people; neither does it lend itself to the maximization of cost-effectiveness. Payment systems must take account of these considerations.",Non-systematic-review,1,0
12,9193127,Behaviour research and therapy,Diagnosing DSM-IV--Part I: DSM-IV and the concept of disorder.,"In this first article in a two-article series, I diagnose' a problem with DSM-IV, specifically, the overinclusiveness of its diagnostic criteria. Using the harmful dysfunction analysis of the concept of disorder (Wakefield, 1992a, American Psychologist, 47, 373-388) as a framework, I argue that DSM-IV criteria for many diagnostic categories fail to satisfy the analysis' dysfunction' requirement, that is, the criteria do not distinguish harmful conditions due to internal dysfunctions from harmful conditions that are nondisordered 'problems in living'. The overinclusiveness problem, I suggest, can be partly dealt with by giving up purely symptomatic criteria and contextualizing diagnosis to take into account the relationship between triggering causes and resulting symptoms. In Part II (Wakefield, 1997, Behaviour Research and Therapy, 35, 651-665, I examine Eysenck's (1986, Contemporary directions in psychopathology: Toward the DSM-IV) proposal for a dimensional diagnostic system to supplant DSM-IV.",Non-systematic-review,1,0
13,35867484,Actas espanolas de psiquiatria,The stigma of mental health professionals towards users with a mental disorder.,"Individuals with mental disorders are labeled in such a way that it leads to stigmatization. This generates a disadvantage as regards to the rest of the members of the society, limiting their participation as active members within it and at the same time being deleterious to their way of life. Mental health professionals are not safe from internalizing these stereotypes and prejudices assumed from their environment, thereby showing stigmatizing attitudes and behaviors towards the users in the different mental health resources.",Non-systematic-review,1,0
14,2260555,American journal of medical genetics,Central nervous system malformations in the CHARGE association.,"Of 144 patients with the CHARGE association (literature 136, new patients 8), 47 (33%) had either a postmortem examination (30) or computerized axial tomography scan (17) of the head. Twenty-six of 47 (55%) had definite central nervous system (CNS) malformations; arhinencephaly, with or without other defects (11), holoprosencephaly (2), holoprosencephaly with arhinencephaly (1), other forebrain defects (3), hindbrain defects (3), or other defects (6). The presence of CNS malformation was most strongly associated with choanal atresia. This review demonstrates a predominance of forebrain anomalies, particularly arhinencephaly and holoprosencephaly, which may provide a clue to the mechanism of abnormal morphogenesis involved in CHARGE association.",Non-systematic-review,1,0
15,29063964,Psychopharmacology,Phytocannabinoids modulate emotional memory processing through interactions with the ventral hippocampus and mesolimbic dopamine system: implications for neuropsychiatric pathology.,"Growing clinical and preclinical evidence suggests a potential role for the phytocannabinoid cannabidiol (CBD) as a pharmacotherapy for various neuropsychiatric disorders. In contrast, delta-9-tetrahydrocannabinol (THC), the primary psychoactive component in cannabis, is associated with acute and neurodevelopmental propsychotic side effects through its interaction with central cannabinoid type 1 receptors (CB1Rs). CB1R stimulation in the ventral hippocampus (VHipp) potentiates affective memory formation through inputs to the mesolimbic dopamine (DA) system, thereby altering emotional salience attribution. These changes in DA activity and salience attribution, evoked by dysfunctional VHipp regulatory actions and THC exposure, could predispose susceptible individuals to psychotic symptoms. Although THC can accelerate the onset of schizophrenia, CBD displays antipsychotic properties, can prevent the acquisition of emotionally irrelevant memories, and reverses amphetamine-induced neuronal sensitization through selective phosphorylation of the mechanistic target of rapamycin (mTOR) molecular signaling pathway. This review summarizes clinical and preclinical evidence demonstrating that distinct phytocannabinoids act within the VHipp and associated corticolimbic structures to modulate emotional memory processing through changes in mesolimbic DA activity states, salience attribution, and signal transduction pathways associated with schizophrenia-related pathology.",Non-systematic-review,1,0
16,10410848,Clinics in sports medicine,Steroids and steroid-like compounds.,"Athletes have been searching for an 'edge' in competition as long as there has been a reward for success. Anabolic-androgenic steroids have been the most popular of these ergogenic aids when winning is the only goal. The authors present a concise review of these substances, their prevalence, efficacy, adverse effects, and legality. This article also presents a steroid user profile and discusses physician perception and management of a patient who uses these drugs. The popular precursors of testosterone, dehydroepiandrosterone, and androstenedione are discussed with a review of the limited available data on these substances.",Non-systematic-review,1,0
17,11035402,International journal of impotence research,Future considerations: advances in the surgical management of erectile dysfunction.,"As treatment options for erectile dysfunction (ED) continue to expand, and with more attractive alternatives such as effective systemic treatment becoming available, the number of men presenting for treatment of ED is increasing exponentially. Since a subset of these men continue to require surgical therapy, there is a potential for the number of operations for the treatment of ED and related disorders to actually increase. Areas in the surgical treatment of ED where improvements are needed are identified, including: measures to prevent penile prosthesis infections, better penile implants, improved penile augmentation procedures, better surgical procedures for the treatment of Peyronie's disease, improved penile revascularization procedures, and new motor and sensory penile nerve grafting procedures. International Journal of Impotence Research (2000) 12, Suppl 4, S140-S143.",Non-systematic-review,1,0
18,18514148,L'Encephale,[Folie à deux: update of an old concept regarding two cases].,"Folie à deux or induced delusional disorder is a rare mental disorder. It was initially described by the French Lasègue and Falret in 1877. Two subjects, who live in a close relationship, in isolation, share delusional ideas based on the same themes. Various classifications exist. Its epidemiology remains unclear, because most of the data have been extrapolated from case reports.	In this paper, we describe and comment two cases of shared paranoid disorder: in the first case report, a husband shares the paranoiac delusion of his wife; the second case report describes a shared paranoid disorder between a schizophrenic daughter and her mother.	A review of the existing literature is also presented. Some clinical characteristics arise, such as frequent mother-daughter associations and diagnosis of schizophrenia in inducing subject. Particular social and psychopathological conditions for the occurrence of a shared delusional disorder are described, such as personality traits and genetic influences. This article also reviews some forensic issues, which may be of importance, since this disorder is underdiagnosed. Data concerning the principles of its treatment are sparse, but most authors consider that the separation of the two subjects has to be the basis of any intervention. The inducing subject has to be treated with specific medical interventions, including the prescription of antipsychotics. Sometimes, the separation is enough to eliminate the delusional ideas from the induced subject, who, according to the ICD-10 and DSM-IV, is the only one to meet the criteria for shared delusional disorder. The case reports are discussed in light of the review, and some propositions for their treatment are made.	As shared delusional disorder is a rare disease, only few data exist on its pathophysiology and mechanisms, and controlled studies are needed in order to understand its specific implications better and to define recommendations for its management.",Non-systematic-review,1,0
19,19521645,"Annals of the Academy of Medicine, Singapore",Neuroimaging of schizophrenia: what it reveals about the disease and what it tells us about a patient.,"Neuroimaging in psychiatry, and in schizophrenia in particular, moves ahead at a rapid pace delivering new insights into the nature of the illness and its intriguing symptoms via technologies such as MRI, fMRI, PET, and SPET scanning. How do these impact on understanding the patient in front of us? What do they mean for the busy clinician in clinic? We outline some of the recent findings in neuroimaging research of schizophrenia and consider their potential application in clinical practice.",Non-systematic-review,1,0
