idx,pmid,journal_name,title,abstract,keywords,accepted_label,multi_label,binary_label
1,31563227,Neurologic clinics,Vestibular Migraine.,"The term vestibular migraine designates recurrent vertigo that is caused by migraine. Vestibular migraine presents with episodes of spontaneous or positional vertigo lasting seconds to days that are accompanied by migraine symptoms. Because headache is often absent during acute attacks, other migraine features have to be identified by thorough history taking. In contrast, vestibular testing serves mainly for the exclusion of other diagnoses. Treatment still lacks solid evidence. It is targeted at the underlying migraine and comprises explanation and reassurance, lifestyle modifications, and drugs.",Dizziness| Migraine| Vertigo| Vestibular| Vestibular migraine,Non-systematic-review,1,0
2,3565056,Acta psychiatrica Belgica,Cognitive-behavioral models of depression.,"As suggested by the label itself, a cognitive-behavioral approach resulted from a mixture of a behavioristic and a cognitive model. Whereas the two models were originally quite distinct, the phenomenon of depression became a sort of meeting ground for both. While research has provided supportive evidence for both conceptualizations, recent research in cognitive psychology, especially the findings on mood and memory, might offer a broader framework to conceptualize depression as a multidimensional phenomenon.",,Non-systematic-review,1,0
3,25182407,Developmental period medicine,[Influence of smoking intoxicants on dental status. Literature search and own experience].,"Amphetamines are phenylpropane derivatives belonging to the group of psychostimulating substances. Within the space of years, on account of their stimulating properties, they were used as treatment substances, e.g. in Attention deficit hyperactivity disorder (ADHD), in obesity as slimming substances, in preventing of paroxysmal drowsiness, as dilating bronchi substances, used as some dope in sports and willingly abused among drug addicts because of long lasting exciting euphoria after use. Methamphetamine, an amphetamine derivative, has even stronger and longer lasting effect. The study presents characteristics of a popular, among teenagers, addictive substance - amphetamine and its derivative- methamphetamine and its influence on teeth after using it in a smoking form. The condition of oral cavity of a 17-year-old patient, who has been using methamphetamine in a smoking form for about 3 years, was described. In the oral cavity of the patient numerous and extensive caries lesions were noticed, placed mainly in the labial cervical area of teeth as well as, a considerable damage of teeth's crowns and teeth loss. The patient needed complex dental treatment: conservative, endodontic, surgical and prosthetic. The use of intoxicating substances, derivatives of amphetamine in form of regular smoking caused a considerable damage of tooth tissues, leading to their loss.",,Non-systematic-review,1,0
4,35439116,IEEE pulse,Wearable Tech Marks a Breakthrough for Scanning the Brain.,"Today, the World Health Organization (WHO) reports that one in four people are affected by mental or neurological disorders, 50 m suffer from epilepsy, and 50 m from Alzheimer's disease. According to the Journal of Neurosurgery, 69 m globally have some type of traumatic brain injury. With these numbers rising daily, there is an urgent need to understand what is happening inside the brain. Brain scanning technology has advanced dramatically in recent decades, but it still faces significant limitations.",,Non-systematic-review,1,0
5,15935199,Primary care,Sleep in patients with neurologic and psychiatric disorders.,"Given the widely recognized association between many neurologic and psychiatric disorders and significant sleep disturbances, the International Classification of Sleep Disorders Diagnostic and Coding Manual recognizes 'Sleep Disorders Associated with Mental, Neurologic, or Other Medical Disorders' as one of four major classification categories. Such sleep disturbances may exacerbate symptoms of the underlying neurologic or psychiatric disorder or produce further adverse medical, behavioral, or psychosocial consequences. Therefore, adequate assessment and recognition of sleep disturbances in these populations is essential. This article includes a summary of neurologic systems influencing sleep that may be affected by neurologic and psychiatric disorders, followed by a brief review of sleep disturbances associated with many common neurologic and psychiatric disorders.",,Non-systematic-review,1,0
6,36601776,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,The central role of peripheral inflammation in ischemic stroke.,"Stroke pathology and its treatments conventionally focus on the brain. Probing inflammation, a critical secondary cell death mechanism in stroke, has been largely relegated to the brain. To this end, peripheral inflammation has emerged as an equally potent contributor to the onset and progression of stroke secondary cell death. Here, we review novel concepts on peripheral organs displaying robust inflammatory response to stroke. These inflammation-plagued organs include the spleen, cervical lymph nodes, thymus, bone marrow, gastrointestinal system, and adrenal glands, likely converging their inflammatory effects through B and T-cells. Recognizing the significant impact of this systemic inflammation, we also discuss innovative stroke therapeutics directed at sequestration of peripheral inflammation. This review paper challenges the paradigm of a brain-centered disease pathology and treatment and offers a peripheral approach to our stroke understanding.",Neuroinflammation| peripheral inflammation| regenerative medicine| stem cells| stroke,Non-systematic-review,1,0
7,21172569,Neurologic clinics,Traumatic brain injury and its neurobehavioral sequelae,"The neurobehavioral sequelae of TBI consist of a spectrum of somatic, neurologic, and psychiatric symptoms. The challenge for clinicians lies in understanding the interface of the various symptoms and how they interrelate with other entities. Specifically, the challenge is differentiating post-TBI-related symptoms from preexisting or de novo psychiatric, neurologic, and/or systemic disorders. A comprehensive evaluation and a multidisciplinary approach to evaluating patients are essential to be able to develop the differential diagnosis needed to design a management plan that maximizes recovery.",,Non-systematic-review,1,0
8,20573052,Psychiatry and clinical neurosciences,Case for and against specificity of depression in Alzheimer's disease.,"The aims of this study were to assess the epidemiological, phenomenological, and pathophysiological evidence that suggests the specificity of depression associated with Alzheimer's disease (AD).	We reviewed the English-language literature.	Depression occurs significantly more often in patients with AD than in the general elderly population. While development of depression in response to the disability and emotional stress of AD may be a contributory factor in some patients, several studies showed that depression was not, or was only seldom, related to self-awareness of AD and these studies could not explain the high prevalence figures. To overcome the overlapping phenomenology of the two diseases, specific diagnostic criteria have been developed for depression in this context. Mixed findings have come from neuropathological and neuroimaging studies, with some evidence linking the underlying neural substrate of AD and depression, suggesting an overlapping cause of primary depression and depression comorbid with AD. Few randomized controlled trials for depression associated with AD have been conducted, with rather poor results for the use of antidepressants.	Currently, depression associated with AD is not considered a separate disorder by regulatory authorities and is unlikely to be considered as such in the near future. Several obstacles remain to support such a specific position, including the heterogenous nature of depression in general and within AD itself, the lack of a distinct set of symptoms, and limited treatment.",,Non-systematic-review,1,0
9,2916270,The Urologic clinics of North America,Semirigid and malleable rod penile prostheses.,"Rod penile prosthesis implantation has a high functional success rate, and the devices have a low mechanical failure rate. The rods are easily implanted. Transient problems, such as pain or penile edema lasting longer than 4 weeks, occur in 10 to 15 per cent of patients, and serious complications such as infection or prosthesis erosion occur in 1 to 5 per cent.",,Non-systematic-review,1,0
10,17607639,Fortschritte der Neurologie-Psychiatrie,[The situation of caregivers of inpatients with bipolar affective disorders].,"Research on the situation of caregivers of patients with bipolar affective disorders has been mostly neglected in German-speaking countries.	In the sense of a bottom-up approach, a content analysis of problem-oriented interviews with 32 caregivers of patients with bipolar disorder was carried out. Additionally, the relevant literature identified by means of a computerized MEDLINE research on the years 1997 - 2007 with the key words 'caregiver'/'relative', 'burden' and 'bipolar disorder', was analysed to describe the situation of the caregivers comprehensively. Related articles in the MEDLINE search were also viewed.	The burden of relatives of bipolar patients are manifold and partially specific. On the top of the list caregivers mentioned emotional burdens like: 'lack of understanding, helplessness and hopelessness' (90,6 %) and 'own concernment' (81,2 %). Specific burdens of these caregivers are 'repulsing and uncooperative behaviour of the patient' (78,1 %) and 'burdens due to the alternation between manic and depressive symptoms' (71,9 %). The manic and depressive symptomatic complex were assessed as burden with equal frequency (75,0 %).	An effective support should consider the necessity of helping the caregivers in handling the symptoms of the illness and imparting coping strategies for emotional relief of caregivers.",,Non-systematic-review,1,0
11,23747017,The Canadian journal of cardiology,Adopting the new anticoagulants: all aboard or all in good time?,"At last there is now more than 1 oral anticoagulant (OAC) available for stroke prevention in atrial fibrillation. Though more choice is a good thing, it does mandate knowing which drug is the most appropriate in a given clinical situation. Three novel OACs--dabigatran, rivaroxaban, and apixaban--are approved for use in atrial fibrillation in Canada. They have each been evaluated in large, randomized controlled trials where they have been shown to be noninferior, or in some cases superior, to warfarin (Coumadin). Prescription coverage for these drugs is increasingly available through third party and government drug plans. The major enhancements of the novel OACs relate to their rapid, consistent anticoagulant effect at fixed dosing and the lack of need for monitoring of anticoagulant effect. Nonetheless, their use is not foolproof and practitioners must be familiar with their limitations. On balance, we favour the use of novel OACs over warfarin in patients who are anticoagulant-naive, given their increased ease of use. However, we advocate switching from warfarin only if international normalized ratio control has been poor or if frequent monitoring is problematic.",,Non-systematic-review,1,0
