idx,pmid,journal_name,title,abstract,keywords,accepted_label,multi_label,binary_label,animal_label
1040,31434803,JCI insight,Transcription factor EB overexpression prevents neurodegeneration in experimental synucleinopathies.,"The synucleinopathies Parkinson's disease (PD) and Multiple system atrophy (MSA) - characterized by α-synuclein intracytoplasmic inclusions into, respectively, neurons and oligodendrocytes - are associated with impairment of the autophagy-lysosomal pathways (ALP). Increased expression of the master regulator of ALP, transcription factor EB (TFEB), is hypothesized to promote the clearance of WT α-synuclein and survival of dopaminergic neurons. Here, we explore the efficacy of targeted TFEB overexpression either in neurons or oligodendrocytes to reduce the pathological burden of α-synuclein in a PD rat model and a MSA mouse model. While TFEB neuronal expression was sufficient to prevent neurodegeneration in the PD model, we show that only TFEB oligodendroglial overexpression leads to neuroprotective effects in the MSA model. These beneficial effects were associated with a decreased accumulation of α-synuclein into oligodendrocytes through recovery of the ALP machinery. Our study demonstrates that the cell type where α-synuclein aggregates dictates the target of TFEB overexpression in order to be protective, paving the way for adapted therapies.",Autophagy| Gene therapy| Neuroscience| Parkinson’s disease| Therapeutics,Animal-drug-intervention,6,1,1
1041,30902870,The Journal of neuroscience : the official journal of the Society for Neuroscience,Anti-Nogo-A Antibodies As a Potential Causal Therapy for Lower Urinary Tract Dysfunction after Spinal Cord Injury,"Loss of bladder control is common after spinal cord injury (SCI) and no causal therapies are available. Here we investigated whether function-blocking antibodies against the nerve-fiber growth inhibitory protein Nogo-A applied to rats with severe SCI could prevent development of neurogenic lower urinary tract dysfunction. Bladder function of rats with SCI was repeatedly assessed by urodynamic examination in fully awake animals. Four weeks after SCI, detrusor sphincter dyssynergia had developed in all untreated or control antibody-infused animals. In contrast, 2 weeks of intrathecal anti-Nogo-A antibody treatment led to significantly reduced aberrant maximum detrusor pressure during voiding and a reduction of the abnormal EMG high-frequency activity in the external urethral sphincter. Anatomically, we found higher densities of fibers originating from the pontine micturition center in the lumbosacral gray matter in the anti-Nogo-A antibody-treated animals, as well as a reduced number of inhibitory interneurons in lamina X. These results suggest that anti-Nogo-A therapy could also have positive effects on bladder function clinically.SIGNIFICANCE STATEMENT After spinal cord injury, loss of bladder control is common. Detrusor sphincter dyssynergia is a potentially life-threatening consequence. Currently, only symptomatic treatment options are available. First causal treatment options are urgently needed in humans. In this work, we show that function-blocking antibodies against the nerve-fiber growth inhibitory protein Nogo-A applied to rats with severe spinal cord injury could prevent development of neurogenic lower urinary tract dysfunction, in particular detrusor sphincter dyssynergia. Anti-Nogo-A therapy has entered phase II clinical trial in humans and might therefore soon be the first causal treatment option for neurogenic lower urinary tract dysfunction.",CRF| Nogo-A| neuro-urology| neurogenic lower urinary tract dysfunction| spinal cord injury| urodynamics,Animal-drug-intervention,6,1,1
1042,7512580,Journal of neuroimmunology,Transforming growth factor-beta 1 inhibits tumor necrosis factor-alpha/lymphotoxin production and adoptive transfer of disease by effector cells of autoimmune encephalomyelitis.,"We previously reported that the CD4+ suppressor cells (Ts) that regulate recovery of Lewis rats from experimental autoimmune encephalomyelitis (EAE) produce transforming growth factor-beta (TGF-beta). We also reported that TGF-beta downregulates interferon-gamma (IFN-gamma), but not interleukin-2 (IL-2) production, by the CD4+ effector T cells (Te) that mediate EAE. We now report that TGF-beta also inhibits the production of tumor necrosis factor/lymphotoxin (TNF/LT) by EAE effector cells. When activated in vitro with myelin basic protein (MBP), Te produced TNF/LT, as measured using a WEHI 164 cytotoxicity assay. The specificity of cytokine action was demonstrated using neutralizing antibodies to TNF/LT. When added to the Te+MBP cultures, TGF-beta inhibited TNF/LT production in a dose-dependent fashion. Moreover, neutralizing anti-TGF-beta antibodies augmented TNF/LT production in the Te+MBP cultures. We also confirm that TGF-beta inhibits adoptive transfer of EAE. In contrast, murine IL-10 only partially inhibited TNF/LT and IFN-gamma production by Te. We conclude that TGF-beta production by Ts plays a major role in recovery from EAE in the Lewis rat by inhibiting TNF/LT and IFN-gamma production by the effector cells that mediate EAE.",,Animal-drug-intervention,6,1,1
1043,15319703,Clinical neuropharmacology,Levetiracetam Interferes With the L-dopa priming process in MPTP-lesioned drug-naive marmosets.,"Levetiracetam (LEV; Keppra, UCB Pharma) has been shown to reduce established l-3,4 dihydroxyphenylalanine (l-dopa)-induced dyskinesia. This study investigated whether LEV can modify induction of dyskinesia by l-dopa or the process of priming.	Drug-naive MPTP (1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine) -lesioned marmosets were treated for 21 days with l-dopa/LEV or l-dopa alone. Subsequently, the animals were left untreated for 1 week and then both groups were challenged with a single dose of l-dopa alone on day 29. Behavior was assessed by automated activity counts and by post hoc analysis of videotapes using validated rating scales.	LEV had no significant effect on the appearance of dyskinesia when administered de novo in combination with l-dopa. However, after a week of drug holiday, the 2 groups exhibited a different response to an acute l-dopa challenge. Thus, animals previously treated with l-dopa alone exhibited a similar level of dyskinesia to that seen on day 21 of the repeated treatment phase of the study. However, animals previously treated with l-dopa/LEV demonstrated significantly reduced dyskinesia compared with day 21 of the repeated treatment phase of the study.	LEV does not modify the onset of dyskinesia following de novo treatment with l-dopa. However, concomitant treatment with l-dopa/LEV reduces the level of dyskinesia induced by l-dopa following a drug holiday. Thus, prior treatment with LEV appears to modify the mechanisms responsible for the maintenance of l-dopa-induced dyskinesia.",,Animal-drug-intervention,6,1,1
1044,8091756,Voprosy virusologii,[The therapeutic and prophylactic effect of 4-iodoantipyrine in experimental tick-borne encephalitis].,"The antiviral activity of iodantipyrine-4 belonging to the group of nonsteroid anti-inflammatory compounds was studied in inbred white mice of 10-12 g given a single subcutaneous injection of the Absettarov strain of tick-borne encephalitis virus. Iodantipyrine-4 in different doses was administered orally or parenterally, and the animals were observed for 21 days. In the group of mice infected with 10 LD50 of TBE virus which were treated with the drug orally in a dose of 50 mg/kg a reliable therapeutic effect was established in 60%, after parenteral injection in 53.4%. Prophylactic administration of the drug followed by challenge with 10 LD50 of virus was effective in 47% of mice. In the group of mice infected with 100 LD50 of the virus the therapeutic effect was observed in 38% and prophylactic in 30%. Iodantipyrine-4 was found to induce interferon production.",,Animal-drug-intervention,6,1,1
1045,19781222,Zhonghua xin xue guan bing za zhi,[rhG-CSF promotes re-endothelialization and attenuates intima hyperplasia in carotid artery of rabbits post balloon catheter injury].,"To investigate the effect of rhG-CSF on mobilizing bone marrow-MSCs, re-endothelialization and intima hyperplasia in carotid artery of rabbits post balloon catheter injury.	Rabbits were treated with rhG-CSF (25 microg/kg, twice daily, i.p, n = 35) or saline (n = 32) for 5 days, then, carotid arteries of rabbits were injured by balloon catheter. The number of peripheral MSCs was detected with FACS. The morphology of injured artery was examined with hematoxylin and eosin stain, PCNA was determined with immunohistochemistry.	(1) Number of peripheral MSCs was similar at baseline and significantly increased at 24 hours and peaked at 7 days and remained increased till 14 days post rhG-CSF. (2) Significant endothelial cell deletion was evidenced in the control group, while scatter endothelial cells was observed in the rhG-CSF group at 1 week post injury. Two weeks after injury, new endothelial area was significantly higher in rhG-CSF group compared to control group. At 4 weeks post injury, endothelial connection was evidenced and regularly displayed in rhG-CSF treated group. (3) PCNA-positive cells in the tunica intima were significantly lower in rhG-CSF treated rabbits at 7, 14 and 28 days compared that in control rabbits (all P < 0.01).	rhG-CSF could mobilize the bone marrow-MSCs and promote re-endothelialization and attenuate intima hyperplasia post balloon catheter injury in carotid arteries of rabbits.",,Animal-drug-intervention,6,1,1
1046,33779331,Human & experimental toxicology,Bone marrow mesenchymal stem cells-derived exosomes reduce apoptosis and inflammatory response during spinal cord injury by inhibiting the TLR4/MyD88/NF-κB signaling pathway.,"Spinal cord injury (SCI) is one of the most common destructive injuries, which may lead to permanent neurological dysfunction. Currently, transplantation of bone marrow mesenchymal stem cells (BMSCs) in experimental models of SCI shows promise as effective therapies. BMSCs secrete various factors that can regulate the microenvironment, which is called paracrine effect. Among these paracrine substances, exosomes are considered to be the most valuable therapeutic factors. Our study found that BMSCs-derived exosomes therapy attenuated cell apoptosis and inflammation response in the injured spinal cord tissues. In in vitro studies, BMSCs-derived exosomes significantly inhibited lipopolysaccharide (LPS)-induced PC12 cell apoptosis, reduced the secretion of pro-inflammatory factors including tumor necrosis factor (TNF)-α and IL (interleukin)-1β and promoted the secretion of anti-inflammatory factors including IL-10 and IL-4. Moreover, we found that LPS-induced protein expression of toll-like receptor 4 (TLR4), myeloid differentiation factor 88 (MyD88) and nuclear transcription factor-κB (NF-κB) was significantly downregulated after treatment with BMSCs-derived exosomes. In in vivo studies, we found that hindlimb motor function was significantly improved in SCI rats with systemic administration of BMSCs-derived exosomes. We also observed that the expression of pro-apoptotic proteins and pro-inflammatory factors was significantly decreased, while the expression of anti-apoptotic proteins and anti-inflammatory factors were upregulated in SCI rats after exosome treatment. In conclusion, BMSCs-derived exosomes can inhibit apoptosis and inflammation response induced by injury and promote motor function recovery by inhibiting the TLR4/MyD88/NF-κB signaling pathway, which suggests that BMSCs-derived exosomes are expected to become a new therapeutic strategy for SCI.",Spinal cord injury| bone marrow mesenchymal stem cells| exosomes| inflammatory response| the TLR4/MyD88/NF-κB pathway,Animal-drug-intervention,6,1,1
1047,25804195,Chinese journal of integrative medicine,Combination of total Astragalus extract and total Panax notoginseng saponins strengthened the protective effects on brain damage through improving energy metabolism and inhibiting apoptosis after cerebral ischemia-reperfusion in mice.,"To explore the effects and molecular mechanisms of the combination between total Astragalus extract (TAE) and total Panax notoginseng saponins (TPNS) against cerebral ischemia-reperfusion injury.	C57BL/6 mice were randomly divided into sham-operated group, model group, TAE (110 mg/kg) group, TPNS (115 mg/kg) group, TAE-TPNS combination group and Edaravone (4 mg/kg) group, treated for 4 days, then, cerebral ischemia-reperfusion injury was established by bilateral common carotid artery (CCA) ligation for 20 min followed by reperfusion for 1 and 24 h.	TPNS could increase adenosine triphosphate (ATP) level, TAE and TAE-TPNS combination increased ATP, adenosine diphosphate (ADP) contents and Na[+]-K[+]-ATPase activity, and the effects of TAE-TPNS combination were stronger than those of TAE or TPNS alone after reperfusion for 1 h. After reperfusion for 24 h, TAE, TPNS and TAE-TPNS combination significantly increased neurocyte survival rate and decreased the apoptosis rate as well as down-regulated the expression of phosphorylated c-June N-terminal kinase1/2 (p-JNK1/2), cytochrome C (Cyt C), cysteine aspartic acid-specific protease (Caspase)-9 and Caspase-3. Furthermore, the effects in TAE-TPNS combination were better than those in TAE or TPNS alone.	The combination of TAE 110 mg/kg and TPNS 115 mg/kg could strengthen protective effects on cerebral ischemia injury, the mechanism underlying might be related to improving jointly the early energy metabolism, and relieving the delayed apoptosis via inhibiting the mitochondrial apoptosis pathway of JNK signal transduction.",C-Jun N-terminal kinase signal transduction| Chinese medicine| cerebral ischemia-reperfusion| combination| energy metabolism| mitochondrial apoptosis pathway| total Astragalus extract| total Panax notoginseng saponins,Animal-drug-intervention,6,1,1
1048,20801087,Epilepsy & behavior : E&B,Antiepileptic action of exogenous dehydroepiandrosterone in iron-induced epilepsy in rat brain.,"In the study described here, the antiepileptic effect of dehydroepiandrosterone (DHEA) treatment on iron-induced focal epileptiform activity in the rat brain was investigated. DHEA is a neuroactive corticosteroid hormone synthesized both in the adrenal cortex and in the brain. Its antioxidant properties are well known. As oxidative stress seems to play a major role in epileptogenesis in the iron-induced model of posttraumatic epilepsy, it was of interest to examine whether DHEA would exert antiepileptic activity. DHEA at a dose of 30 mg/kg/day administered intraperitoneally for 7, 14, and 21 days to iron-induced epileptic rats prevented epileptiform electrophysiological activity. Morris water maze and open-field tests on iron-induced epileptic rats revealed that DHEA also prevented behavioral alterations related to epileptiform activity. Thus, DHEA attenuated the cognitive defects produced by epileptic activity. Moreover, alterations in epileptogenesis-related biochemical parameters-lipid peroxidation, protein oxidation and Na(+), K(+)-ATPase (sodium pump) activity--were also countered by DHEA.",,Animal-drug-intervention,6,1,1
1049,30462117,Food & function,Resveratrol alleviates motor and cognitive deficits and neuropathology in the A53T α-synuclein mouse model of Parkinson's disease.,"Parkinson's disease (PD) is a neurodegenerative disorder characterized by Lewy pathology and progressive loss of dopaminergic neurons in the substantia nigra. Lewy pathology mainly consists of abnormal aggregates of α-synuclein, which play a pivotal role in PD pathophysiology. However, the complexity of PD leads to clinical challenges, and there are still no treatments to halt or slow the neurodegenerative process. Resveratrol (RV) is a natural polyphenol compound with multiple biological activities, which has been reported to exert neuroprotective effects on several neurological diseases. Here we first provided evidence that RV treatment alleviated motor and cognitive deficits in the A53T α-synuclein mouse model of PD in a dose-dependent manner. The beneficial effects of RV against PD resulted from inhibiting α-synuclein aggregation and cytotoxicity, lowering the levels of total α-synuclein and oligomers, reducing neuroinflammation and oxidative stress. These findings suggest that RV has promising therapeutic potential for PD and other synucleinopathies.",,Animal-drug-intervention,6,1,1
