idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
1,25837613,Professioni infermieristiche,[The use of expressive writing in the course of care for cancer patients to reduce emotional distress: analysis of the literature].,"The emotional distress represents one of the symptoms most frequently reported in the cancer patient in therapy, increasing the risk of developing a disease depressive. Through the analysis of the literature we want to assess whether the use of expressive writing on cancer patients in their care pathway compared to the use of writing neutral reduces emotional distress.	The bibliographic search was conducted using the databases CINAHL, PubMed, Cochrane Library and PsycInfo.	The results of research conducted on 7 randomized controlled trials, including 3 pilot studies have shown after expressive writing sessions (experimental group) versus neutral writing (control group) a significant reduction in distress in the experimental group early stages of cancer (p = 0,0183); in patients with a diagnosis of metastatic assigned to the group expressive writing there was a statistically significant relevance in the reduction of mood disorders (p = 0,03).Were determined statistically significant group differences also with respect to some measure on the quality of sleep (p = 0,04). The expressive writing did not produce significant reductions in psychological distress and improvements in physical health (p > 0,20) in patients diagnosed with metastatic disease of long duration and, in the palliative care there have been results of feasibility for poor adherence at follow-up.	From the results it is evident that the strategies of expressive writing improves the management of the disease, reduce the physical and psychological symptoms related to the tumor while reducing the emotional distress in patients at an early stage of the disease.	Il distress emozionale rappresenta uno dei sintomi maggiormente riportati nel paziente oncologico in terapia, aumentando il rischio di sviluppare una patologia depressiva. Attraverso l’analisi della letteratura si vuole valutare se l’utilizzo della scrittura espressiva sui malati oncologici nel loro percorso di cura rispetto all’uso della scrittura neutra riduce il distress emozionale.	La ricerca bibliografica è stata condotta utilizzando le banche dati CINHAL, PubMed, Cochrane Library e PsycInfo.	I risultati della ricerca, condotta su 7 studi clinici randomizzati e controllati, di cui 3 studi pilota, hanno evidenziato in seguito a sessioni di scrittura espressiva (gruppo sperimentale) versus scrittura neutra (gruppo di controllo) una riduzione significativa nel gruppo sperimentale del distress negli stadi iniziali della malattia oncologica (p = 0,0183); nei pazienti con una diagnosi metastatica assegnati al gruppo di scrittura espressiva vi è stata una rilevanza statisticamente significativa nella riduzione dei disturbi dell’umore (p = 0,03). Sono state determinate differenze di gruppo statisticamente significative anche rispetto ad alcune misure sulla qualità del sonno (p = 0,04). La scrittura espressiva non ha prodotto significative riduzioni di stress psicologico e miglioramenti della salute fisica (p>0,20) nei pazienti con diagnosi metastatica di lunga durata e, nell’ambito delle cure palliative non vi sono stati risultati di fattibilità per una scarsa aderenza nel follow-up.	Dai risultati si evidenzia come le strategie di scrittura espressiva migliorano la gestione della malattia, riducono i sintomi fisici e psicologici correlati al tumore riducendo il distress emozionale, nei pazienti ad uno stadio iniziale della patologia.",Non-systematic-review,1,0
2,27040285,Acta neuropathologica,Risk stratification of childhood medulloblastoma in the molecular era: the current consensus.,"Historical risk stratification criteria for medulloblastoma rely primarily on clinicopathological variables pertaining to age, presence of metastases, extent of resection, histological subtypes and in some instances individual genetic aberrations such as MYC and MYCN amplification. In 2010, an international panel of experts established consensus defining four main subgroups of medulloblastoma (WNT, SHH, Group 3 and Group 4) delineated by transcriptional profiling. This has led to the current generation of biomarker-driven clinical trials assigning WNT tumors to a favorable prognosis group in addition to clinicopathological criteria including MYC and MYCN gene amplifications. However, outcome prediction of non-WNT subgroups is a challenge due to inconsistent survival reports. In 2015, a consensus conference was convened in Heidelberg with the objective to further refine the risk stratification in the context of subgroups and agree on a definition of risk groups of non-infant, childhood medulloblastoma (ages 3-17). Published and unpublished data over the past 5 years were reviewed, and a consensus was reached regarding the level of evidence for currently available biomarkers. The following risk groups were defined based on current survival rates: low risk (>90 % survival), average (standard) risk (75-90 % survival), high risk (50-75 % survival) and very high risk (<50 % survival) disease. The WNT subgroup and non-metastatic Group 4 tumors with whole chromosome 11 loss or whole chromosome 17 gain were recognized as low-risk tumors that may qualify for reduced therapy. High-risk strata were defined as patients with metastatic SHH or Group 4 tumors, or MYCN-amplified SHH medulloblastomas. Very high-risk patients are Group 3 with metastases or SHH with TP53 mutation. In addition, a number of consensus points were reached that should be standardized across future clinical trials. Although we anticipate new data will emerge from currently ongoing and recently completed clinical trials, this consensus can serve as an outline for prioritization of certain molecular subsets of tumors to define and validate risk groups as a basis for future clinical trials.",Non-systematic-review,1,0
3,10181464,The Journal of ambulatory care management,Treatment of survivors of political torture: administrative and clinical issues.,"Treatment of survivors of political torture is a new field, the symptoms of survivors are many and difficult, clinicians in general are not experienced in treatment, and there is little money available. Both administrative and clinical decisions often must take into account political realities not found in other treatment environments. To overcome these obstacles has required building an agency with a small economy, a sense of community among its workers, flexibility about the presence and pervasiveness of politics, the ability to address countertransference, and goals that allow workers to cope with the difficulty and size of the problem of torture.",Non-systematic-review,1,0
4,25084209,Expert opinion on pharmacotherapy,Sertindole in schizophrenia: efficacy and safety issues.,"Despite substantial progress in the pharmacological treatment of schizophrenia, antipsychotic drugs are associated with insufficient effects on negative and cognitive symptoms, adverse events, poor compliance and drug discontinuation. Sertindole , first withdrawn from the market for cardiovascular safety concerns, is currently available in many countries. It has high affinity for dopamine D2, serotonin 5-HT2A, 5-HT2C and a1-adrenergic receptors, and a low potential for extrapyramidal symptoms.	The pharmacodynamics, pharmacokinetics, clinical efficacy, safety and tolerability, and cost-effectiveness of sertindole are covered in this article, based on a literature review (PubMed) from 1990 to 2014.	The reviewed studies suggest a beneficial effect of sertindole on positive, negative and cognitive symptoms, and on relapse prevention. Although generally well tolerated, sertindole is associated with a dose-related QT-interval prolongation; thus, its administration requires electrocardiogram screening and monitoring. The presence of congenital long QT syndrome, prolongated QTc at baseline, cardiac disease and drug interactions should be carefully considered before prescribing sertindole. Further direct 'head-to-head' comparisons with other second-generation antipsychotics (SGAs), trials on special populations and further clarification on cardiac safety are needed to better define the role of sertindole in the treatment of schizophrenia.",Non-systematic-review,1,0
5,2744979,The International journal of social psychiatry,A normality for us without confinement for them: notes on the associations of families of the mentally ill.,"Associations of families of the mentally ill arose in Italy in the early 1980s mainly in the country's northern and central regions. They denounced the inadequacies of an extramural service conceived of as an out-patient clinic filling the void left by the shutting down of asylums. The positions elaborated by these associations focus on four main themes: the distribution of the 'burden of care' for the ill between services and families; the ill-conceived interpretation of the families' needs owing to the professional's alleged tendency to 'point the finger of guilt' at the families themselves; the demand for greater power in regard to decisions made by the services; the interaction with the rights and liberties of the mentally ill. Two different ranges of problems are discussed. First, there is the conflict within the family between the interests and rights of its income-producing and its 'dependent' members. This conflict points not to a loss but to an overload of functions shifted to the family at a time of rising expectations for the satisfaction of needs. It therefore calls for services of a new kind, i.e. services capable of making these conflicting interests and rights compatible. Second, extramural services either reject or misinterpret the asylum's labour-saving function. These services thus ascribe care for the material life of the mentally ill to the family's own resources alone.(ABSTRACT TRUNCATED AT 250 WORDS)",Non-systematic-review,1,0
6,17565028,Chest,Sleep-related hypoventilation/hypoxemic syndromes.,"The latest edition of The International Classification of Sleep Disorders: Diagnostic and Coding Manual subsumes a broad range of disorders under the heading 'Sleep Related Hypoventilation/Hypoxemic Syndromes.' Some are quite common, such as COPD with worsening gas exchange during sleep; while some are exceedingly rare, such as congenital central hypoventilation syndrome. All share the attribute of abnormal gas exchange that worsens, or may only be present, during sleep. The sleep state, the sleeping posture, and the circadian rhythm driving sleep all may affect respiration by altering control of breathing and/or pulmonary mechanics. These changes are largely inconsequential in the normal individual but interact with respiratory, neurologic, or neuromuscular disease to manifest as the sleep-related hypoventilation/hypoxemic syndromes. In addition to optimal treatment of the underlying disorder (when known and when possible), treatment usually involves nocturnal ventilatory support that is now most commonly provided by noninvasive positive pressure ventilation.",Non-systematic-review,1,0
7,33947273,J Neurotrauma,Epidemiology of Chronic Effects of Traumatic Brain Injury,"Although many patients diagnosed with traumatic brain injury (TBI), particularly mild TBI, recover from their symptoms within a few weeks, a small but meaningful subset experience symptoms that persist for months or years after injury and significantly impact quality of life for the person and their family. Factors associated with an increased likelihood of negative TBI outcomes include not only characteristics of the injury and injury mechanism, but also the person's age, pre-injury status, comorbid conditions, environment, and propensity for resilience. In this article, as part of the Brain Trauma Blueprint: TBI State of the Science framework, we examine the epidemiology of long-term outcomes of TBI, including incidence, prevalence, and risk factors. We identify the need for increased longitudinal, global, standardized, and validated assessments on incidence, recovery, and treatments, as well as standardized assessments of the influence of genetics, race, ethnicity, sex, and environment on TBI outcomes. By identifying how epidemiological factors contribute to TBI outcomes in different groups of persons and potentially impact differential disease progression, we can guide investigators and clinicians toward more-precise patient diagnosis, along with tailored management, and improve clinical trial designs, data evaluation, and patient selection criteria.",Non-systematic-review,1,0
8,10410848,Clinics in sports medicine,Steroids and steroid-like compounds.,"Athletes have been searching for an 'edge' in competition as long as there has been a reward for success. Anabolic-androgenic steroids have been the most popular of these ergogenic aids when winning is the only goal. The authors present a concise review of these substances, their prevalence, efficacy, adverse effects, and legality. This article also presents a steroid user profile and discusses physician perception and management of a patient who uses these drugs. The popular precursors of testosterone, dehydroepiandrosterone, and androstenedione are discussed with a review of the limited available data on these substances.",Non-systematic-review,1,0
9,10470554,Infectious disease clinics of North America,Pathogenesis of bacterial meningitis.,"Bacterial meningitis is fatal in 5% to 40% of patients and causes neurologic sequelae in up to 30% of survivors. Much has been learned recently about the mechanisms that lead to brain injury during meningitis. Once bacteria have gained access to the central nervous system, their multiplication triggers a complex host response consisting of humoral and cellular immune mediators, reactive oxygen intermediates, matrix-metalloproteinases, and other host-derived factors. Alterations of the cerebral vasculature, with disruption of the blood brain barrier and global and focal ischemia, ultimately lead to functional and structural brain damage. This article reviews current concepts of the pathophysiology of bacterial meningitis and emphasizes possible therapeutic strategies to prevent its harmful consequences.",Non-systematic-review,1,0
10,26022165,Pediatric clinics of North America,Diagnosis and management of autism spectrum disorder in the era of genomics: rare disorders can pave the way for targeted treatments.,"Although the diagnosis of autism spectrum disorder (ASD) is based on behavioral signs and symptoms, the evaluation of a child with ASD has become increasingly focused on the identification of the genetic etiology of the disorder. In this review, we begin with a clinical overview of ASD, highlighting the heterogeneity of the disorder. We then discuss the genetics of ASD and present updated guidelines on genetic testing. We then consider the insights gained from the identification of both single gene disorders and rare variants, with regard to clinical phenomenology and potential treatment targets.",Non-systematic-review,1,0
11,6394993,Neurologic clinics,Noninvasive diagnosis of extracranial cerebrovascular disease.,"Noninvasive methods for diagnosis of carotid and vertebrobasilar disease may be divided into passive techniques and those in which the body is interrogated by the introduction of some sort of signal such as an ultrasound beam. Older techniques have been of limited value, whereas newer noninvasive methods can give specific, accurate, and quantitative information as to the location and extent of arterial stenosis.",Non-systematic-review,1,0
12,37132490,Biomeditsinskaia khimiia,Features of oxidative stress in alcoholism.,"The review considers molecular mechanisms underlying formation and development of oxidative stress (OS) in patients with alcohol dependence. The major attention is paid to the effects of ethanol and its metabolite acetaldehyde associated with additional sources of generation of reactive oxygen species (ROS) in response to exogenous ethanol. The own results of studies of the in vitro effect of ethanol and acetaldehyde on the concentration of peripheral OS markers - products of oxidative modification of proteins (protein carbonyls), lipids (lipid peroxidation products), DNA (8-hydroxy-2-deoxyguanosine, 8-OHdG) in blood plasma are presented. The changes in these parameters and the activity of antioxidant enzymes (SOD, catalase) in patients with alcohol dependence were analyzed. Own and literature data indicate that at a certain stage of the disease OS can play a protective rather than pathogenic role in the body.",Non-systematic-review,1,0
13,17876387,The Canadian journal of cardiology,Congenital absence of the pericardium presenting as acute myocardial necrosis.,"Congenital absence of the pericardium is a rare defect of which recognition is critical because it can be associated with catastrophic outcomes. While some carriers of this condition may present with a lethal complication, most are asymptomatic, and the defect is found incidentally. The case of a 49-year-old woman is described who presented with acute myocardial necrosis and absence of obstructive coronary artery disease, and in whom a complete left pericardial defect was found. An investigation was undertaken to determine the role of the defect in this patient's presentation and to recommend the best possible therapy. Finally, a review of literature focusing on congenital absence of the pericardium, as well as a discussion of clinical presentation, imaging techniques and therapeutic options, is also presented.	L’absence congénitale du péricarde est une malformation rare dont la reconnaissance est cruciale parce qu’elle peut donner lieu à des situations dramatiques. Certains porteurs peuvent connaître une issue fatale, mais la plupart des personnes atteintes ne présentent pas de symptômes, et la malformation est découverte par hasard. Suit la description du cas d’une femme de 49 ans, qui a consulté pour une nécrose aiguë du myocarde en l’absence d’une coronaropathie obstructive et chez qui on a découvert l’absence complète du péricarde gauche. On a donc entrepris une exploration afin de déterminer le rôle de la malformation sur les troubles ayant motivé la consultation et de recommander le meilleur traitement possible. L’article fera également état de l’examen de la documentation sur l’absence congénitale du péricarde et présentera une discussion sur le tableau clinique, les techniques d’imagerie et les différents traitements possibles.",Non-systematic-review,1,0
14,1968717,The American journal of medicine,Sleep disorders and their management. Special considerations in the elderly.,"Complaints of insomnia and disordered sleep are pervasive among the elderly, and reduced total sleep time and changes in sleep architecture are considered to be normal in the aging process. Additionally, numerous medical and psychiatric disorders that are highly prevalent in the geriatric population are known to affect sleep adversely. Epidemiologic data indicate that at least 5 million older adults suffer severe disorders of sleep and that most people with severe insomnia receive no treatment for this troubling symptom. However, although the elderly comprise only about 12 percent of the American population, between 35 and 40 percent of all prescriptions for sedative hypnotics are written for people over the age of 60. Moreover, approximately 23 percent of Americans over age 85 reside in long-term care facilities, and institutionalization is an important risk factor for disordered sleep and for sedative hypnotic prescription. Consequently, the evaluation of any sedative hypnotic agent must include substantial assessment of efficacy, safety, and tolerance in geriatric patients.",Non-systematic-review,1,0
15,30934083,Annals of internal medicine,Generalized Anxiety Disorder.,"Generalized anxiety disorder (GAD) is a common and disabling illness that is often underdiagnosed and undertreated. Patients with GAD are at increased risk for suicide as well as cardiovascular-related events and death. Most patients can be diagnosed and managed by primary care physicians. Symptoms include chronic, pervasive anxiety and worry accompanied by nonspecific physical and psychological symptoms (restlessness, fatigue, difficulty concentrating, irritability, muscle tension, or sleep disturbances). Effective treatments include psychotherapy (often cognitive behavioral therapy) and pharmacotherapy, such as selective serotonin reuptake inhibitors and serotonin-norepinephrine reuptake inhibitors.",Non-systematic-review,1,0
16,19521645,"Annals of the Academy of Medicine, Singapore",Neuroimaging of schizophrenia: what it reveals about the disease and what it tells us about a patient.,"Neuroimaging in psychiatry, and in schizophrenia in particular, moves ahead at a rapid pace delivering new insights into the nature of the illness and its intriguing symptoms via technologies such as MRI, fMRI, PET, and SPET scanning. How do these impact on understanding the patient in front of us? What do they mean for the busy clinician in clinic? We outline some of the recent findings in neuroimaging research of schizophrenia and consider their potential application in clinical practice.",Non-systematic-review,1,0
