text,NUM_LABEL_BINARY,NUM_LABEL_MULTI
acta psychiatrica scandinavica influence of mental health professionals attitudes and personality traits on decisionmaking around coercion results from an experimental quantitative survey using case vignettes research on coercion in mental healthcare has recently shifted to the investigation of subjective aspects both on the side of the people with mental disorders affected and the staff members involved in this context the role of personality traits and attitudes of staff members in decisionmaking around coercion is increasingly being assessed this study aimed to examine the role of staff attitudes towards coercion and staff members personality traits in decisionmaking around coercion in an experimental setting	we assessed the attitudes towards coercion and general personality traits of mental health professionals in psychiatric hospitals with a quantitative survey furthermore we developed case vignettes representing cases in a grey zone and included them in the survey to assess staff members decisions about coercion in specific situations	a general approving attitude towards coercion significantly influenced decisions around coercion in individual casesresulting in a more likely approval of applying coercion in the cases described in the vignettes personality traits did not seem to be relevant in this regard	strategies to reduce coercion in mental healthcare institutions should focus more on the role of staff attitudes and encourage staff members to reflect on them critically,0,0
journal of autism and developmental disorders effects of an inclusive physical activity program on the motor skills social skills and attitudes of students with and without autism spectrum disorder this study investigated the effects of an inclusive physical activity ipa program on the motor and social skills and attitudes of students with and without autism spectrum disorder asd the study sample consisted of 45 asd and typical development td students aged between 6 and 11 years the students were randomly divided into two groups a training group consisting of 27 students n  13 with asd and n  14 with td and a control group consisting of 18 students n  9 with asd and n  9 with td in conclusion the ipa program increased the motor and social skills of the asd students and improved the motor skills of the td students and positively affected their attitudes towards the asd students,0,9
international journal of urology  official journal of the japanese urological association ten cases of congenital urethral stricture in childhood with enuresis to report shortterm clinical outcomes of endoscopic correction of congenital urethral stricture in 10 boys who suffer from enuresis resistant to conservative therapy	fifteen boys ranging between 5 and 15 years old consulted our clinics for nocturnal and diurnal enuresis which had not been improved by medication and behavioral therapy among them voiding cystography revealed bulbar narrowing cobbs collar in 10 cases and vesicoureteral reflux was found in four cases seven ureters endoscopically this lesion was recognized as a ringform stenosis just distal to the urethral sphincter it was incised with infantile urethrotome	vesicoureteral reflux was resolved in four ureters and improved in one in all cases daytime enuresis resolved dramatically and night enuresis became controllable	boys who suffer from diurnal enuresis should immediately be explored for the existence of congenital urethral stenosis early resolution may bring about better urinary behavior,0,2
muscle  nerve neuromuscular electrical stimulation in neurorehabilitation this review provides a comprehensive overview of the clinical uses of neuromuscular electrical stimulation nmes for functional and therapeutic applications in subjects with spinal cord injury or stroke functional applications refer to the use of nmes to activate paralyzed muscles in precise sequence and magnitude to directly accomplish functional tasks in therapeutic applications nmes may lead to a specific effect that enhances function but does not directly provide function the specific neuroprosthetic or functional applications reviewed in this article include upper and lowerlimb motor movement for selfcare tasks and mobility respectively bladder function and respiratory control specific therapeutic applications include motor relearning reduction of hemiplegic shoulder pain muscle strengthening prevention of muscle atrophy prophylaxis of deep venous thrombosis improvement of tissue oxygenation and peripheral hemodynamic functioning and cardiopulmonary conditioning perspectives on future developments and clinical applications of nmes are presented,0,1
revista peruana de medicina experimental y salud publica registry of patients with stroke stated in a public hospital of peru 20002009 we performed a descriptive study taking on account the characteristics of the registries of the patients hospitalized at the hospital nacional cayetano heredia between the years 2000 and 2009 with stroke as hospitalization diagnosis 2225 records were obtained from patients older than 18 with stroke according to icd10 1071 had diagnosis of ischemic stroke 554 were hemorrhagic 183 were subarachnoid hemorrhage 49 were ischemic plus hemorrhagic 10 were transient ischemic attack tia and in 358 we were unable to specify the type of stroke 352 deaths were recorded 196  most of them during the first 3 days the male  female ratio was 109 the mean age 641  172 years and the median length of hospital stay was 9 days the most common associated conditions were high blood pressure atrial fibrillation and type 2 diabetes mellitus the mortality found is the highest reported in our country constant in all age groups and higher in women,0,0
przeglad epidemiologiczny detection of nonpoliomyelitic enteroviruses in central nervous system infections in poland in 19952000 viral isolation data the aim of this study was evaluation of enterovirus diagnosis based on isolation of the virus in cell culture from subjects with aseptic neuroinfection conducted in six provincial sanitaryepidemiological stations in 19952000 years available data from six sanitaryepidemiological stations indicated that 1429 isolation of enteroviruses from fecal samples of those patients were performed the most frequently isolated enterovirus serotype was echovirus type 30 138203 isolated enteroviruses but also others enterovirus serotypes were isolated in a study period in the years 1995 and 1996 the percentage of positive results of isolation was highest with the numbers of 31 and 2827 respectively the decrease in positive isolation results has been observed from 1997 year negative results of isolation come up to 90 of investigated cases only 15 of enterovirus isolation attempts finished successfully in 2002 year the situation when percentage of positive results of isolation is on so low level the natural alterations in a profile of enterovirus serotype infected population cannot be observed and serological investigations can be conducted for enterovirus serotypes others than really circulating and causing infections in population,0,0
neuropsychologia the role of the corpus callosum in visual orienting importance of interhemispheric visual transfer in a tachistoscopic visual search task the effects of ipsi and contralateral distractors on target search were investigated in two complete commissurotomy patients popout distractors slowed the search for contralateral targets in both patients ie search was not independent in both hemifields in normals we previously observed an extinctionlike asymmetry in that distractors in the right visual hemifield interfered with target search in the left visual hemifield but not vice versa this pattern was also found in one of our patients ng whereas the other lb showed a reversed laterality effect while ng is able to transfer visual shape information between hemispheres lb is not the data suggest that the reversal of the contralateral distractor asymmetry in lb is due to the disruption of ipsilateral visual input to the right hemisphere,0,0
research in developmental disabilities the impact of health checks for people with intellectual disabilities an updated systematic review of evidence health checks for people with intellectual disabilities have been recommended as one component of international health policy responses to the poorer health of people with intellectual disabilities this review updates a previously published review summarising evidence on the impact of health checks on the health and wellbeing of people with intellectual disabilities electronic literature searches and email contacts were used to identify literature relevant to the impact of health checks for people with intellectual disabilities published from 1989 to 2013 fortyeight publications were identified of which eight articles and two reports were newly identified and not included in the previous review these involved checking the health of people with intellectual disabilities from a range of countries including a full range of people with intellectual disabilities health checks consistently led to detection of unmet health needs and targeted actions to address health needs health checks also had the potential to increase knowledge of the health needs of people with intellectual disabilities amongst health professionals and support staff and to identify gaps in health services health checks are effective in identifying previously unrecognised health needs including life threatening conditions future research should consider strategies for optimising the cost effectiveness or efficiency of health checks,0,7
acta psychiatrica belgica cognitivebehavioral models of depression as suggested by the label itself a cognitivebehavioral approach resulted from a mixture of a behavioristic and a cognitive model whereas the two models were originally quite distinct the phenomenon of depression became a sort of meeting ground for both while research has provided supportive evidence for both conceptualizations recent research in cognitive psychology especially the findings on mood and memory might offer a broader framework to conceptualize depression as a multidimensional phenomenon,0,1
ajnr american journal of neuroradiology spinal cord pial metastases mr imaging with gadopentetate dimeglumine the purpose of this investigation was to describe gadopentetatedimeglumineenhanced mr findings in metastatic disease to the pial lining of the spinal cord correlation was made with clinical data other radiologic studies and pathologic findings eightysix patients with a known malignancy and unexplained neurologic signs or symptoms were studied with pre and postcontrast t1weighted images in seven of these patients abnormal enhancement of the pial lining of the cord was seen on the sagittal postcontrast t1weighted images this appeared as a thin rim of enhancement along the surface of the cord in six patients and as a focal thick rim of enhancement in addition to the thin rim of enhancement in the seventh patient axial images confirmed the location along the pial lining in each case precontrast t1weighted images in all seven cases and precontrast t2weighted images in five cases failed to detect any focal abnormalities of the pial lining of the cord pathologic confirmation was available in five of the seven patients primary malignancies in these patients included breast carcinoma two lymphoma one leukemia one adenocarcinoma of the lung one prostate carcinoma one and malignant melanoma one three of seven patients had metastatic disease evident only within the cns while four patients had widespread disease outside the cns we conclude that contrastenhanced mr imaging is useful in the diagnosis of pial spread of metastatic disease in patients with a known primary malignancy and unexplained neurologic signs or symptoms,0,0
psychiatry and clinical neurosciences habitual snoring in an outpatient population in japan in order to investigate the occurrence and history of sleep problems in japan the 11centre collaborative study on sleep problems cosp project was carried out complaints of snoring are examined and its prevalence risk factors and screening reliability are discussed the subjects who participated in the study were 6445 new outpatients from a general hospital they were asked to answer a sleep questionnaire that consisted of 34 items with seven demographic items each item was composed of four grades of frequency in order to offset possible seasonal variations in sleep habits data were collected across four seasons sleep patterns insomnia hypersomnia parasomnia and circadian rhythm sleep disorders were covered habitual snoring was seen in 160 of males and 65 of females male predominance was noted from these data the relationship between habitual snoring and sleep complaints was statistically analyzed habitual snorers hs were observed to wake up more frequently during sleep 178 of males 215 of females than were nonhabitual snorers nhs 66 of males 97 of females midsleep awakening of hs was also more frequent than it was for nhs however there were no differences in difficulty in falling asleep and early morning awakening body mass index cigarette smoking and alcohol consumption were also correlated with habitual snoring,0,0
zhen ci yan jiu  acupuncture research development of research on mechanisms of electroacupuncture intervention underlying improvement of cerebral ischemia rats in recent five years in the present paper we summarized the relevant research literature on the underlying mechanism of electroacupuncture ea intervention in improving cerebral ischemia ci in middle cerebral artery occlusion mcao model rats in recent 5 years from preconditioning and regular intervention outcomes showed that both ea preconditioning and regular intervention could relieve ci by reducing toxicity of excitatory amino acids glutamate aspartate and tlr4nfbmediated inflammatory cascade reaction to relieve inflammatory injury moreover ea preconditioning also could suppress the expression of proapoptosis genes and proteins to relieve apoptosis regulate activation of microglia and downregulate the expression of blood brain barrier integrityrelated matrix metalloprotein 9 regular ea intervention also could promote angiogenesis to increase supply of blood and oxygen facilitate regeneration proliferation and differentiation of neural stem cells via triggering activation of notch and shh signaling pathways and promote the secretion of neurotrophin by upregulating the expression of brain derived neurotrophic factor and nerve growth factor trk a receptor and promote expression of axon growth and synaptic remodelingrelated factor ephrin b2eph b2 and srgtpase activating protein 1 and cell division cycle 42 cdc42 axon growth and orientated downstream molecules however up to now the conclusion is still fragmentary and onesided and can not explain the specific mechanism of electroacupuncture in mcao rats needing further indepth study,0,1
human heredity detection of phenotype modifier genes using twolocus linkage analysis in complex disorders such as major psychosis to increase power to detect modifier loci conferring susceptibility to specific phenotypes such as disease diagnoses which are part of a broader disorder spectrum by jointly modeling a modifier and a broad susceptibility gene and to identify modifier loci conferring specific susceptibility to schizophrenia sz or to bipolar disorder bp using the approach	we implemented a twolocus linkage analysis model where a gene 1 genotype increases the risk of a broad phenotype and a gene 2 genotype modifies the expression of gene 1 by conferring susceptibility to a specific phenotype	compared to a singlelocus analysis within the broad phenotype the proposed approach had greater power to detect the modifier gene 2 096 vs 054 under a simulation scenario including heterogeneity in a sample of 12 mixed sz and bp eastern quebec kindreds d8s1110 at 8p22 showed the strongest evidence of linkage to a gene determining a specific phenotype sz or bp among subjects susceptible to major psychosis because of putative genes at 10p13 d10s245 conditional maximized lod cmod  420 p  00003 and 3q21q23 d3s2418 cmod  409 p  00005	the proposed strategy is useful to detect modifier loci conferring susceptibility to a specific phenotype within a broader phenotype,0,0
developmental science instrumental learning and cognitive flexibility processes are impaired in children exposed to early life stress children who experience severe early life stress show persistent deficits in many aspects of cognitive and social adaptation early stress might be associated with these broad changes in functioning because it impairs general learning mechanisms to explore this possibility we examined whether individuals who experienced abusive caregiving in childhood had difficulties with instrumental learning andor cognitive flexibility as adolescents fiftythree 1417yearold adolescents 31 exposed to high levels of childhood stress 22 control completed an fmri task that required them to first learn associations in the environment and then update those pairings adolescents with histories of early life stress eventually learned to pair stimuli with both positive and negative outcomes but did so more slowly than their peers furthermore these stressexposed adolescents showed markedly impaired cognitive flexibility they were less able than their peers to update those pairings when the contingencies changed these learning problems were reflected in abnormal activity in learning and attentionrelated brain circuitry both altered patterns of learning and neural activation were associated with the severity of lifetime stress that the adolescents had experienced taken together the results of this experiment suggest that basic learning processes are impaired in adolescents exposed to early life stress these general learning mechanisms may help explain the emergence of social problems observed in these individuals,0,0
