,pmid,journal_name,title,abstract,accepted_label
0,18379746,Der Radiologe,[Pediatric stroke].,Stroke in childhood has gained increasingly more attention and is accepted as an important disease in childhood. The reasons for this severe event and the consequences for the rest of the life are totally different than for adults. This is also true for the diagnosis and therapy. This paper gives a comprehensive overview on the characteristics of pediatric stroke to assist radiologists in making a rapid and safe diagnosis in order to identify the underlying disease.,Non-systematic-review
1,24660674,Journal of consulting and clinical psychology,Treatment engagement and response to CBT among Latinos with anxiety disorders in primary care.,"In the current study, we compared measures of treatment outcome and engagement for Latino and non-Latino White patients receiving a cognitive behavioral therapy (CBT) program delivered in primary care.	Participants were 18-65 years old and recruited from 17 clinics at 4 different sites to participate in a randomized controlled trial for anxiety disorders, which compared the Coordinated Anxiety Learning and Management (CALM) intervention (consisting of CBT, medication, or both) with usual care. Of those participants who were randomized to the intervention arm and selected CBT (either alone or in combination with medication), 85 were Latino and 251 were non-Latino White; the majority of the Latino participants received the CBT intervention in English (n = 77). Blinded assessments of clinical improvement and functioning were administered at baseline and at 6, 12, and 18 months after baseline. Measures of engagement, including attendance, homework adherence, understanding of CBT principles, and commitment to treatment, were assessed weekly during the CBT intervention.	Findings from propensity-weighted linear and logistic regression models revealed no statistically significant differences between Latinos and non-Latino Whites on symptom measures of clinical improvement and functioning at almost all time points. There were significant differences on 2 of 7 engagement outcomes, namely, number of sessions attended and patients' understanding of CBT principles.	These findings suggest that CBT can be an effective treatment approach for Latinos who are primarily English speaking and likely more acculturated, although continued attention should be directed toward engaging Latinos in such interventions.",Human-RCT-non-drug-intervention
2,20159133,Archives of physical medicine and rehabilitation,Relationship between perceived exertion and physiologic markers during arm exercise with able-bodied participants and participants with poliomyelitis.,"To investigate the strength of the relationship between ratings of perceived exertion (RPE) and oxygen uptake (Vo(2)), heart rate, ventilation (Ve) and power output (PO) during an arm-crank ramped exercise test to volitional exhaustion in men and women who differed in physical status.	Each participant completed an arm-crank ramp exercise test to volitional exhaustion. PO was increased by 15 W.min(-1) and 6 W.min(-1) for men and women able-bodied participants, respectively; for the poliomyelitis participants, 9 W.min(-1) and 6 W.min(-1) increments were used for men and women, respectively.	Laboratory facilities at a university.	Able-bodied participants (n=16; 9 men, 7 women) and participants with poliomyelitis (n=15, 8 men, 7 women) volunteered for the study.	Strength of the relationship (R(2) values) between RPE and Vo(2), heart rate, Ve and PO.	There were significantly higher values for maximum Vo(2) and maximum PO for able-bodied men compared with their counterparts with poliomyelitis (P<.05). However, when the data were controlled for age, there were no significant differences in these values (P>.05). Similar results were observed for the women who were able-bodied as well as for the women who had poliomyelitis (P>.05). The relationships between heart rate and RPE and Ve and RPE for able-bodied patients and patients with poliomyelitis were similar (R(2)>.87). The relationship between Vo(2) and RPE was stronger in the able-bodied participants compared wih the participants with poliomyelitis, regardless of sex (P<.05). However, when the data were controlled for age, there was no significant difference in the strength of this relationship between able-bodied participants and those with poliomyelitis, regardless of sex (P>.05).	RPE is strongly related to physiologic markers of exercise intensity during arm exercise, irrespective of sex or participant's poliomyelitis status.",Remaining
3,11781147,Biochimica et biophysica acta,Characterization of a missense mutation at histidine-44 in a pyruvate dehydrogenase-deficient patient.,"Genetic defects in pyruvate dehydrogenase complex (PDC) cause lactic acidosis, neurological deficits, and often early death. Most mutations of PDC are localized in the alpha subunit of the pyruvate dehydrogenase (E1) component. We have kinetically characterized a patient's missense mutation alphaH44R in E1alpha by creating and purifying three recombinant human E1s (alphaH44R, alphaH44Q, and alphaH44A). Substitutions at histidine-15 resulted in decreased V(max) values (6% alphaH44R; 30% alphaH44Q; 90% alphaH44A) while increasing K(m) values for thiamine pyrophosphate (TPP) compared to wild-type (alphaH44R, 3-fold; alphaH44Q, 7-fold; alphaH44A, 10-fold). This suggests that the volume of the residue at site 15 is important for TPP binding and substitution by a residue with a longer side chain disrupts the active site more than the TPP binding site. The rates of phosphorylation and dephosphorylation of alphaH44R E1 by E1-kinase and phospho-E1 phosphatase, respectively, were similar to that of the wild-type E1 protein. These results provide a biochemical basis for altered E1 function in the alphaH44R E1 patient.",Remaining
4,31706919,Epilepsy & behavior : E&B,The role of P-glycoprotein (P-gp) and inwardly rectifying potassium (Kir) channels in sudden unexpected death in epilepsy (SUDEP).,"Sudden unexpected death in epilepsy (SUDEP) is the major cause of death that affects patients with epilepsy. The risk of SUDEP increases according to the frequency and severity of uncontrolled seizures; therefore, SUDEP risk is higher in patients with refractory epilepsy (RE), in whom most antiepileptic drugs (AEDs) are ineffective for both seizure control and SUDEP prevention. Consequently, RE and SUDEP share a multidrug resistance (MDR) phenotype, which is mainly associated with brain overexpression of ABC-transporters such as P-glycoprotein (P-gp). The activity of P-gp can also contribute to membrane depolarization and affect the normal function of neurons and cardiomyocytes. Other molecular regulators of membrane potential are the inwardly rectifying potassium channels (Kir), whose genetic variants have been related to both epilepsy and heart dysfunctions. Although it has been suggested that dysfunctions of the cardiac, respiratory, and brainstem arousal systems are the causes of SUDEP, the molecular basis for explaining its dysfunctions remain unknown. In rats, repetitive seizures or status epilepticus induced high expression of P-gp and loss Kir expression in the brain and heart, and promoted membrane depolarization, malignant bradycardia, and the high rate of mortality. Here we reviewed clinical and experimental evidences suggesting that abnormal expression of depolarizing/repolarizing factors as P-gp and Kir could favor persistent depolarization of membranes without any rapid functional recovery capacity. This condition induced by convulsive stress could be the molecular mechanism leading to acquired severe bradycardia, as an ineffective heart response generating the appropriate scenario for SUDEP development. This article is part of the Special Issue 'NEWroscience 2018'.",Non-systematic-review
5,1067610,Proceedings of the National Academy of Sciences of the United States of America,Tolerance and dependence evoked by an endogenous opiate peptide.,"Incubation of neuroblastoma X glioma hybrid cells for 12-97 hr with methionine-enkephalin results in an increase in adenylate cyclase activity [ATP pyrophosphate-lyase (cyclizing), EC 4.6.1.1] that is mediated by the opiate receptor. The results show that cells become tolerant to, and dependent upon, enkephalin.",In-vitro-study
6,21375489,Current molecular medicine,The Role of immune and inflammatory mechanisms in ALS.,"Amyotrophic lateral sclerosis (ALS) is a severe progressive neurodegenerative disease. The cause is unknown, but genetic abnormalities have been identified in subjects with familial ALS and also in subjects with sporadic ALS. Environmental factors such as occupational exposure have been shown to be risk factors for the development of ALS. Patients differ in their clinical features and differ in the clinical course of disease. Immune abnormalities have been found in the central nervous system by pathological studies and also in the blood and CSF of subjects with ALS. Inflammation and immune abnormalities are also found in animals with a model of ALS due to mutations in the SOD1 gene. Previously it has been considered that immune abnormalities might contribute to the pathogenesis of disease. However more recently it has become apparent that an immune response can occur as a response to damage to the nervous system and this can be protective.",Non-systematic-review
7,16236167,Health and quality of life outcomes,"Differential effect sizes of growth hormone replacement on Quality of Life, well-being and health status in growth hormone deficient patients: a meta-analysis.","Patients with growth hormone deficiency (GHD) frequently report to suffer from an impaired Quality of Life (QoL) and growth hormone (GH) substitution is found to improve this. However, the same test may be used for measuring QoL, well-being or health status in different studies. QoL has been defined as the subjective appraisal of one's current life based primarily on psychological function. The most important in the appraisal of well-being is mental function and concerning health status patients evaluate physical function as most important. To differentiate the effects of GH replacement on psychological variables in patients with GHD we carried out a number of meta-analyses, classifying questionnaires into instruments measuring QoL, psychological well-being and health status.	We searched the electronic databases PUBMED and PiCarta from 1985 to 2004. Studies were included that evaluated the effect of GH on patient-reported outcomes in adults with GHD (aged 18 years and above). According to generally accepted definitions we classified the questionnaires as instruments measuring QoL, well-being and health status. By means of meta-analyses the average effect size (d) for QoL, well-being and health status was calculated.	Based on open studies GH replacement is found to improve QoL with a small effect size (d = 0.18), well-being with a medium effect size (d = 0.47) and health status with a small effect size (d = 0.26). As the effect size of well-being is most pronounced the generally reported effects of GH replacement on QoL may be overestimated and actually reflect the effect on well-being.	To get more insight in the specific psychological effects of GH treatment it is recommended that instruments selected for these studies should be more consistently classified as instruments measuring QoL, well-being or health status.",Human-systematic-review
8,30760172,Psychological reports,Effects of Psychoeducation and Stress Coping Techniques on Posttraumatic Stress Disorder Symptoms.,"This study examined the effects of psychoeducation and stress management techniques on Posttraumatic Stress Disorder (PTSD) symptoms in Libya. The 41 Libyan patients who volunteered to take part in the study were first assessed using the PTSD Checklist. They attended workshops on PTSD symptoms, stress management techniques, and communication skills on three successive days after which they were asked to answer the Coping Inventory for Stressful Situations two weeks after they completed the workshops. Among the 39% of the participants who were diagnosed with PTSD prior to the intervention, 15% met the diagnostic criteria for PTSD after the intervention. The preintervention scores were consistently higher than the postintervention scores, and there were significant differences in the PTSD Checklist total score and the re-experiencing, avoidance, and hyperarousal symptom scores. This study concluded that in mass-trauma events such as war and natural disasters, PTSD education can reduce the PTSD symptoms of those affected. Whether the benefits of psychoeducation on the participants are long term or short term is recommended for further study due to the limitations imposed by the willingness of the participants to participate, the amount of time they are willing to stay with the program, and the duration of the psychoeducation program itself.",Human-non-RCT-non-drug-intervention
9,7280810,Spine,Isolated congenital cervical block vertebrae below the axis with neurological symptoms.,"A reviews of 13 cases of symptomatic isolated congenital cervical fusion (block vertebrae) below the C2 level is presented. Ten cases were collected from a review of the English literature and three new cases were added. All 13 patients presented neurologic symptoms of radiculopathy and/or myelopathy with either no history of trauma or only minor trauma. Pathogenesis of symptoms is due to degenerative arthritis of the adjacent mobile segments, spinal stenosis, and subluxation of the adjacent mobile segments. The significance of coexisting spinal stenosis and segmental instability is emphasized and is related to the symptoms and treatment of the condition. Symptomatic patients can be treated satisfactorily with adequate decompressive laminectomy and fusion of the unstable segments.",Remaining
