,idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
76,77,rayyan-1277750766,Gen Hosp Psychiatry,A randomized trial of psychiatric consultation with distressed high utilizers,"This study reports the results of a randomized trial of a psychiatric consultation intervention with distressed, high utilizing patients of 18 physicians in two primary care clinics. Psychiatric consultation was associated with a significant increase in the use of antidepressants in intervention patients compared with controls in the first 6 months after intervention. Intervention patients were also significantly more likely to continue antidepressant treatment than control patients. The primary care physicians receiving psychiatric consultations increased the rate of prescribing antidepressant medications in their practice from 32 prescriptions filled per 1,000 visits before their participation in four consultations to 44 new prescriptions per 1,000 visits in the 12-month period after. There were no significant differences between intervention patients and controls at 6 and 12 months after randomization in psychiatric distress, functional disability, or utilization of health care (ambulatory visits, radiographic and laboratory testing services, admissions to inpatient medical care).",Human-RCT-non-drug-intervention,9,0
77,78,rayyan-1277759348,Psychother Psychosom,Four-Week Mentalizing Imagery Therapy for Family Dementia Caregivers: A Randomized Controlled Trial with Neural Circuit Changes,"INTRODUCTION: Family caregivers of patients with dementia suffer a high burden of depression and reduced positive emotions. Mentalizing imagery therapy (MIT) provides mindfulness and guided imagery skills training to improve balanced mentalizing and emotion regulation. OBJECTIVE: Our aims were to test the hypotheses that MIT for family caregivers would reduce depression symptoms and improve positive psychological traits more than a support group (SG), and would increase dorsolateral prefrontal cortex (DLPFC) connectivity and reduce subgenual anterior cingulate cortex (sgACC) connectivity. METHODS: Forty-six caregivers participated in a randomized controlled trial comparing a 4-week MIT group (n = 24) versus an SG (n = 22). Resting state neuroimaging was obtained at baseline and post-group in 28 caregivers, and questionnaires completed by all participants. The primary outcome was change in depression; secondary measures included anxiety, mindfulness, self-compassion, and well-being. Brain networks with participation of DLPFC and sgACC were identified. Connectivity strengths of DLPFC and sgACC with respective networks were determined with dual regression. DLPFC connectivity was correlated with mindfulness and depression outcomes. RESULTS: MIT significantly outperformed SG in improving depression, anxiety, mindfulness, self-compassion, and well-being, with moderate to large effect sizes. Relative to SG, participants in MIT showed significant increases in DLPFC connectivity - exactly replicating pilot study results - but no change in sgACC. DLPFC connectivity change correlated positively with mindfulness and negatively with depression change. CONCLUSIONS: In this trial, MIT was superior to SG for reducing depression and anxiety symptoms and improving positive psychological traits. Neuroimaging results suggested that strengthening DLPFC connectivity with an emotion regulation network might be mechanistically related to MIT effects.",Human-RCT-non-drug-intervention,9,0
78,79,rayyan-1277753879,Psychother Psychosom,"Repetitive transcranial magnetic stimulation in bulimia nervosa: preliminary results of a single-centre, randomised, double-blind, sham-controlled trial in female outpatients","BACKGROUND: Bulimia nervosa (BN) is often associated with depressive symptoms and treatment with antidepressants has shown positive effects. A shared deficient serotonergic transmission was postulated for both syndromes. The left dorsolateral prefrontal cortex was argued to regulate eating behaviour and to be dysfunctional in eating disorders. METHODS: Fourteen women meeting DSM-IV criteria for BN were included in a randomised placebo-controlled double-blind trial. In order to exclude patients highly responsive to placebo, all patients were first submitted to a one-week sham treatment. Randomisation was followed by 3 weeks of active treatment or sham stimulation. As the main outcome criterion we defined the change in binges and purges. Secondary outcome variables were the decrease of the Hamilton Depression Rating Scale (HDRS), the Beck Depression Inventory (BDI) and the Yale-Brown Obsessive Compulsive Scale (YBOCS) over time. RESULTS: The average number of binges per day declined significantly between baseline and the end of treatment in the two groups. There was no significant difference between sham and active stimulation in terms of purge behaviour, BDI, HDRS and YBOCS over time. CONCLUSION: These preliminary results indicate that repetitive transcranial magnetic stimulation (rTMS) in the treatment of BN does not exert additional benefit over placebo. A larger number of patients might clarify a further role of rTMS in the treatment of BN.",Human-RCT-non-drug-intervention,9,0
79,80,rayyan-1277750203,Br Med J,Controlled trial of treatment for cerebral concussion,"In a study designed to compare two types of treatment of cerebral concussion, 178 patients were allocated to a routine treatment or to an active treatment group; in the latter a good prognosis was emphasized, the patient was mobilized early and given physiotherapy. In the routine treatment group the average time off work was 32 days compared with 18 days in the active treatment group. Physiotherapy seemed to be particularly valuable in old patients and in those with exaggerated fears about their condition. It is suggested that throughout their illness and follow-up, patients with cerebral concussion should be under the care of one doctor, one who is particularly interested in the subject and that more propaganda is needed",Human-RCT-non-drug-intervention,9,0
81,82,rayyan-1277759869,Gerontologist,A Randomized Control Trial for ReDeSign: A Dementia-Friendly Mobile Microlearning Training for Store Workers in Japan,"BACKGROUND AND OBJECTIVES: Dementia-friendly training should be incorporated in neighborhood stores for people living with dementia to maintain engagement in social activities. However, there is a lack of evidence of dementia-friendly training in these workplaces, and existing trainings have time constraints. We developed a mobile microlearning program based on stigma theory and the bystander intervention model. This study aimed to evaluate the microlearning program's effectiveness. RESEARCH DESIGN AND METHODS: Convenience store workers in Tokyo were recruited for a randomized, waiting-list, and controlled trial. The intervention group completed a 50-min online course. The primary outcome was an attitude toward people living with dementia. The secondary outcomes were knowledge of dementia and helping behavior toward customers suspected of having dementia. Data were collected at baseline, after 1 month, and 4 months following the randomization. RESULTS: Process evaluations confirmed satisfaction and high completion rates of the program. In total, 150 participants were included in the analysis. The intervention group showed significantly greater improvements in attitude (Hedge's g = 0.70) and knowledge (g = 0.59) after 1 month, compared to the control group. Helping behavior increased in the intervention group, although it did not differ significantly between the groups. All outcomes remained significantly improved after 4 months. DISCUSSION AND IMPLICATIONS: The findings provide evidence that dementia-friendly training reduces the general public's stigma and increases helping behavior in stores. Mitigation of time constraints through mobile microlearning is expected to contribute to the dissemination and help people living with dementia maintain their social participation in the communities. Clinical Trials Registration Number: UMIN000043623.",Human-RCT-non-drug-intervention,9,0
82,83,rayyan-1277759676,Jama,Remote Ischemic Conditioning for Acute Stroke: The RESIST Randomized Clinical Trial,"IMPORTANCE: Despite some promising preclinical and clinical data, it remains uncertain whether remote ischemic conditioning (RIC) with transient cycles of limb ischemia and reperfusion is an effective treatment for acute stroke. OBJECTIVE: To evaluate the effect of RIC when initiated in the prehospital setting and continued in the hospital on functional outcome in patients with acute stroke. DESIGN, SETTING, AND PARTICIPANTS: This was a randomized clinical trial conducted at 4 stroke centers in Denmark that included 1500 patients with prehospital stroke symptoms for less than 4 hours (enrolled March 16, 2018, to November 11, 2022; final follow-up, February 3, 2023). INTERVENTION: The intervention was delivered using an inflatable cuff on 1 upper extremity (RIC cuff pressure, ≤200 mm Hg [n = 749] and sham cuff pressure, 20 mm Hg [n = 751]). Each treatment application consisted of 5 cycles of 5 minutes of cuff inflation followed by 5 minutes of cuff deflation. Treatment was started in the ambulance and repeated at least once in the hospital and then twice daily for 7 days among a subset of participants. MAIN OUTCOMES AND MEASURES: The primary end point was improvement in functional outcome measured as a shift across the modified Rankin Scale (mRS) score (range, 0 [no symptoms] to 6 [death]) at 90 days in the target population with a final diagnosis of ischemic or hemorrhagic stroke. RESULTS: Among 1500 patients who were randomized (median age, 71 years; 591 women [41%]), 1433 (96%) completed the trial. Of these, 149 patients (10%) were diagnosed with transient ischemic attack and 382 (27%) with a stroke mimic. In the remaining 902 patients with a target diagnosis of stroke (737 [82%] with ischemic stroke and 165 [18%] with intracerebral hemorrhage), 436 underwent RIC and 466 sham treatment. The median mRS score at 90 days was 2 (IQR, 1-3) in the RIC group and 1 (IQR, 1-3) in the sham group. RIC treatment was not significantly associated with improved functional outcome at 90 days (odds ratio [OR], 0.95; 95% CI, 0.75 to 1.20, P = .67; absolute difference in median mRS score, -1; -1.7 to -0.25). In all randomized patients, there were no significant differences in the number of serious adverse events: 169 patients (23.7%) in the RIC group with 1 or more serious adverse events vs 175 patients (24.3%) in the sham group (OR, 0.97; 95% CI, 0.85 to 1.11; P = .68). Upper extremity pain during treatment and/or skin petechia occurred in 54 (7.2%) in the RIC group and 11 (1.5%) in the sham group. CONCLUSIONS AND RELEVANCE: RIC initiated in the prehospital setting and continued in the hospital did not significantly improve functional outcome at 90 days in patients with acute stroke. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT03481777.",Human-RCT-non-drug-intervention,9,0
83,84,rayyan-1277758295,Psychiatry Res,Aerobic exercise and cognitive functioning in schizophrenia: A pilot randomized controlled trial,"This pilot randomized controlled trial evaluated the combined effect of individual and group aerobic exercises (AEs) on cognition in schizophrenia. Among 32 randomized patients, 31 were included in the intent-to-treat population: 16 in treatment as usual (TAU) + AE and 15 in TAU groups. Over 12 weeks, patients were given a dose of 2 exercise sessions per week, including 1 individual session and 1 group session. TAU + AE patients showed significant improvements in cognition, intrinsic motivation, psychiatric symptoms, and interpersonal relations. These encouraging findings support the promise of integrated individual and group AEs to improve cognition and other outcomes in schizophrenia.",Human-RCT-non-drug-intervention,9,0
84,85,rayyan-1277751875,J Consult Clin Psychol,A controlled study of virtual reality exposure therapy for the fear of flying,"Fear of flying (FOF) affects an estimated 10-25% of the population. Patients with FOF (N = 49) were randomly assigned to virtual reality exposure (VRE) therapy, standard exposure (SE) therapy, or a wait-list (WL) control. Treatment consisted of 8 sessions over 6 weeks, with 4 sessions of anxiety management training followed by either exposure to a virtual airplane (VRE) or exposure to an actual airplane at the airport (SE). A posttreatment flight on a commercial airline measured participants' willingness to fly and anxiety during flight immediately after treatment. The results indicated that VRE and SE were both superior to WL, with no differences between VRE and SE. The gains observed in treatment were maintained at a 6-month follow up. By 6 months posttreatment, 93% of VRE participants and 93% of SE participants had flown. VRE therapy and SE therapy for treatment of FOF were unequivocally supported in this controlled study.",Human-RCT-non-drug-intervention,9,0
87,88,rayyan-1277756114,Am J Geriatr Psychiatry,A multidimensional home-based care coordination intervention for elders with memory disorders: the maximizing independence at home (MIND) pilot randomized trial,"OBJECTIVES: To assess whether a dementia care coordination intervention delays time to transition from home and reduces unmet needs in elders with memory disorders. DESIGN: 18-month randomized controlled trial of 303 community-living elders. SETTING: 28 postal code areas of Baltimore, MD. PARTICIPANTS: Age 70+ years, with a cognitive disorder, community-living, English-speaking, and having a study partner available. INTERVENTION: 18-month care coordination intervention to systematically identify and address dementia-related care needs through individualized care planning; referral and linkage to services; provision of dementia education and skill-building strategies; and care monitoring by an interdisciplinary team. MEASUREMENTS: Primary outcomes were time to transfer from home and total percent of unmet care needs at 18 months. RESULTS: Intervention participants had a significant delay in time to all-cause transition from home and the adjusted hazard of leaving the home was decreased by 37% (Hazard ratio: 0.63, 95% Confidence Interval: 0.42-0.94) compared with control participants. Although there was no significant group difference in reduction of total percent of unmet needs from baseline to 18 months, the intervention group had significant reductions in the proportion of unmet needs in safety and legal/advance care domains relative to controls. Intervention participants had a significant improvement in self-reported quality of life (QOL) relative to control participants. No group differences were found in proxy-rated QOL, neuropsychiatric symptoms, or depression. CONCLUSIONS: A home-based dementia care coordination intervention delivered by non-clinical community workers trained and overseen by geriatric clinicians led to delays in transition from home, reduced unmet needs, and improved self-reported QOL.",Human-RCT-non-drug-intervention,9,0
91,92,rayyan-1277755955,Psychol Med,Comparison of non-directive counselling and cognitive behaviour therapy for patients presenting in general practice with an ICD-10 depressive episode: a randomized control trial,"BACKGROUND: Most evidence in the UK on the effectiveness of brief therapy for depression concerns cognitive behaviour therapy (CBT). In a trial published in 2000, we showed that non-directive counselling and CBT were equally effective in general practice for patients with depression and mixed anxiety and depression. Our results were criticized for including patients not meeting diagnostic criteria for a depressive disorder. In this reanalysis we aimed to compare the effectiveness of the two therapies for patients with an ICD-10 depressive episode. METHOD: Patients with an ICD-10 depressive episode or mixed anxiety and depression were randomized to counselling, CBT or usual general practitioner (GP) care. Counsellors provided nondirective, interpersonal counselling following a manual that we developed based on the work of Carl Rogers. Cognitive behaviour therapists provided CBT also guided by a manual. Modelling was carried out using generalized estimating equations with the multiply imputed datasets. Outcomes were mean scores on the Beck Depression Inventory, Brief Symptom Inventory, and Social Adjustment Scale at 4 and 12 months. RESULTS: A total of 134 participants were randomized to CBT, 126 to counselling and 67 to usual GP care. We undertook (1) an interaction analysis using all 316 patients who were assigned a diagnosis and (2) a head-to-head comparison using only those 130 (41%) participants who had an ICD-10 depressive episode at baseline. CBT and counselling were both superior to GP care at 4 months but not at 12 months. There was no difference in the effectiveness of the two psychological therapies. CONCLUSIONS: We recommend that national clinical guidelines take our findings into consideration in recommending effective alternatives to CBT.",Human-RCT-non-drug-intervention,9,0
