"PMID","Autobiography","Bibliography","Biography","Case-Control Studies","Case Reports","Clinical Studies as Topic","Clinical Study","Cohort Studies","Comment","Congress","Consensus Development Conference","Cross-Cultural Comparison","Cross-Over Studies","Cross-Sectional Studies","Diagnostic Test Accuracy","Double-Blind Method","Editorial","Evaluation Studies as Topic","Evaluation Study","Feasibility Studies","Focus Groups","Follow-Up Studies","Genome-Wide Association Study","Historical Article","Human Experimentation","interview","Interviews as Topic","Lecture","Legal Case","Letter","Longitudinal Studies","Matched-Pair Analysis","Meta-analysis","Multicenter Study","News","Personal Narrative","Portrait","Practice Guideline","Predictive Value of Tests","Prospective Studies","Random Allocation","Randomized Controlled Trial","Reproducibility of Results","Retrospective Studies","Review","Systematic Reviews as Topic","Systematic Review","Twin Study","Validation Study"
31387390,0.0,0.0,0.0,0.0143,0.0021,0.023,0.2712,0.0056,0.00015,0.00005,0.00001,0.00004,0.00064,0.0023,0.0,0.0074,0.00021,0.0013,0.0187,0.0025,0.0047,0.0415,0.00004,0.00045,0.0,0.0,0.00091,0.00002,0.0,0.0002,0.0024,0.00006,0.00029,0.0035,0.00015,0.0,0.0,0.00003,0.0019,0.02,0.0045,0.1577,0.0027,0.0248,0.0013,0.00003,0.0,0.00001,0.00061
33034830,0.0,0.0,0.0,0.0268,0.0014,0.00052,0.0385,0.0106,0.00015,0.0,0.00001,0.00002,0.00006,0.0748,0.0,0.003,0.0001,0.00071,0.0016,0.0004,0.00002,0.0018,0.00004,0.00026,0.0,0.0,0.00009,0.00001,0.0,0.00039,0.00077,0.00023,0.00034,0.0621,0.00001,0.0,0.0,0.0,0.0314,0.024,0.004,0.0029,0.015,0.0628,0.0013,0.0,0.0,0.00003,0.00023
33689290,0.00005,0.00002,0.00007,0.00072,0.0042,0.023,0.0056,0.0056,0.00037,0.00011,0.00003,0.00023,0.00006,0.003,0.0,0.00018,0.012,0.0013,0.0151,0.00024,0.00006,0.0079,0.001,0.0101,0.00002,0.00004,0.0003,0.002,0.00006,0.0018,0.0039,0.00003,0.0016,0.0018,0.00015,0.00033,0.00013,0.00018,0.0152,0.0084,0.00049,0.00084,0.0131,0.0054,0.0225,0.00004,0.00002,0.00002,0.00023
33937180,0.00027,0.0,0.0001,0.0039,0.0052,0.0225,0.0078,0.003,0.0067,0.00005,0.00002,0.00078,0.00007,0.0039,0.0,0.00018,0.004,0.00038,0.0018,0.0004,0.00016,0.025,0.00049,0.003,0.0,0.0,0.0033,0.0006,0.00038,0.0119,0.003,0.00003,0.00086,0.025,0.00001,0.00088,0.00004,0.00004,0.0152,0.02,0.00099,0.00084,0.0097,0.0052,0.1981,0.00004,0.0,0.00003,0.00054
34034790,0.0,0.0,0.0,0.00015,0.00016,0.1057,0.9933,0.00042,0.00015,0.00005,0.00001,0.00023,0.0238,0.00075,0.0,0.0989,0.00026,0.0011,0.00056,0.0069,0.00002,0.0314,0.0,0.00018,0.0,0.0,0.00039,0.0,0.0,0.00013,0.0017,0.00003,0.00023,0.1148,0.00001,0.0,0.0,0.0,0.0015,0.4767,0.001,0.9114,0.0027,0.0015,0.0013,0.0,0.00027,0.00001,0.00006
34486740,0.0,0.0,0.0,0.0003,0.00064,0.0225,0.00076,0.0088,0.00015,0.0,0.00001,0.00065,0.00002,0.0014,0.0,0.00016,0.00047,0.00017,0.0025,0.00006,0.00002,0.0029,0.0044,0.00026,0.0,0.0,0.00004,0.00001,0.0,0.00033,0.00057,0.00002,0.9199,0.00061,0.00001,0.0,0.0,0.00003,0.00089,0.0356,0.00032,0.00006,0.0097,0.0037,0.9509,0.0,0.9664,0.0,0.0
34871380,0.0,0.0,0.0,0.00045,0.0023,0.6548,0.0056,0.0022,0.00015,0.0,0.00002,0.0,0.00002,0.0017,0.0,0.00018,0.00021,0.0011,0.00056,0.00016,0.00002,0.0207,0.00005,0.0003,0.0,0.0,0.00009,0.00002,0.0,0.0001,0.00057,0.0,0.9824,0.0012,0.00001,0.0,0.0,0.0,0.0,0.0011,0.00032,0.00006,0.0055,0.0011,0.8613,0.00004,0.9956,0.00002,0.0
35457070,0.0,0.0,0.0,0.0143,0.00064,0.0011,0.0175,0.0049,0.00023,0.00005,0.00001,0.00002,0.0007,0.0072,0.0,0.0057,0.00026,0.00038,0.007,0.00008,0.00076,0.0613,0.00005,0.0003,0.0,0.0,0.00091,0.00002,0.0,0.0018,0.00077,0.00003,0.00023,0.0078,0.00001,0.0,0.0,0.00004,0.0079,0.0088,0.0236,0.1372,0.0027,0.0049,0.0039,0.0,0.0,0.00002,0.0013
37060000,0.0,0.0,0.0,0.00072,0.00016,0.0008,0.0056,0.2868,0.00023,0.0,0.0,0.00002,0.00007,0.0023,0.0,0.00018,0.00021,0.00017,0.0035,0.00006,0.00005,0.1649,0.00017,0.0003,0.0,0.0,0.0079,0.0,0.0,0.0018,0.0016,0.0,0.00029,0.1148,0.00001,0.0,0.00002,0.0,0.0028,0.1662,0.00012,0.0032,0.00072,0.5657,0.0035,0.0,0.0,0.00002,0.00023
37248910,0.0,0.00002,0.0011,0.00093,0.0021,0.0061,0.0039,0.0358,0.0011,0.00011,0.00002,0.00023,0.00007,0.011,0.0,0.0011,0.00068,0.00019,0.00065,0.00024,0.00005,0.0041,0.00017,0.0279,0.0,0.00004,0.00039,0.00003,0.00006,0.0025,0.00095,0.00006,0.00086,0.0017,0.00015,0.00006,0.00004,0.00004,0.0028,0.0151,0.0012,0.00084,0.0261,0.0041,0.5014,0.00003,0.0012,0.00004,0.00022
37287360,0.00005,0.00002,0.00049,0.0034,0.0186,0.0089,0.0089,0.0049,0.004,0.00005,0.00003,0.00023,0.00039,0.0023,0.0,0.00094,0.0047,0.00075,0.0035,0.00089,0.00016,0.0415,0.00049,0.0132,0.00014,0.00015,0.00039,0.0006,0.00038,0.0177,0.0017,0.00017,0.00071,0.0035,0.0028,0.00076,0.00013,0.00043,0.004,0.0088,0.0019,0.0016,0.008,0.0248,0.1176,0.00004,0.0,0.00008,0.00061
37750660,0.0,0.0,0.0,0.00015,0.00033,0.0061,0.9956,0.0,0.00015,0.0,0.00001,0.00002,0.00039,0.00091,0.0,0.00022,0.00015,0.00017,0.00021,0.00024,0.00006,0.0537,0.00027,0.0003,0.0,0.0,0.00091,0.00002,0.0,0.0013,0.0039,0.00006,0.0,0.0113,0.00001,0.0,0.00003,0.0,0.004,0.0064,0.00099,0.8815,0.005,0.0014,0.00071,0.0,0.0,0.00008,0.0
31875461,0.00005,0.00002,0.0001,0.0046,0.0246,0.0035,0.0282,0.009,0.0012,0.00005,0.00002,0.00023,0.0007,0.0162,0.0,0.00079,0.0012,0.0013,0.007,0.00089,0.0102,0.0224,0.00017,0.0014,0.0,0.0,0.0547,0.00016,0.0,0.0039,0.0089,0.00006,0.00071,0.0269,0.00001,0.00088,0.00002,0.00004,0.0028,0.0088,0.0012,0.0056,0.015,0.0112,0.0171,0.0,0.0,0.00002,0.0013
31912571,0.0,0.0,0.0,0.0023,0.0023,0.0022,0.0039,0.0016,0.00015,0.00001,0.00001,0.00023,0.00006,0.0059,0.0,0.00016,0.00068,0.00038,0.0016,0.00057,0.00002,0.0648,0.00049,0.00026,0.0,0.0,0.00009,0.00002,0.0,0.00033,0.0016,0.00017,0.00014,0.0029,0.00001,0.00005,0.0,0.0,0.004,0.0013,0.0368,0.00054,0.0033,0.0014,0.049,0.0,0.0,0.00003,0.00022
33011431,0.0,0.0,0.00006,0.00015,0.00064,0.0048,0.0,0.00042,0.00015,0.0,0.00002,0.00006,0.0,0.00041,0.0,0.00008,0.00026,0.00038,0.00095,0.00006,0.00002,0.0018,0.00034,0.00045,0.0,0.0,0.00009,0.00004,0.0,0.0001,0.00057,0.0,0.0992,0.0012,0.00001,0.00003,0.0,0.0,0.0079,0.024,0.00032,0.0,0.008,0.0014,0.9741,0.00044,0.998,0.00002,0.00013
33389151,0.00003,0.0,0.0001,0.0028,0.0246,0.004,0.0138,0.0133,0.0045,0.00005,0.00002,0.00078,0.00007,0.0281,0.0,0.0017,0.0012,0.00071,0.0016,0.0007,0.00006,0.0268,0.00034,0.00045,0.0,0.0,0.00039,0.00002,0.0,0.0013,0.0136,0.00017,0.00086,0.0029,0.00015,0.00003,0.00002,0.00004,0.0254,0.0249,0.0019,0.0042,0.0648,0.0112,0.0734,0.0,0.00006,0.00043,0.002
