"pmid","autobiography","bibliography","biography","Case-Control Studies","Case Reports","Clinical Studies as Topic","Clinical Study","Cohort Studies","Comment","congress","Consensus Development Conference","Cross-Cultural Comparison","Cross-Over Studies","Cross-Sectional Studies","Diagnostic Test Accuracy","Double-Blind Method","editorial","Evaluation Studies as Topic","Evaluation Study","Feasibility Studies","Focus Groups","Follow-Up Studies","Genome-Wide Association Study","Historical Article","Human Experimentation","interview","Interviews as Topic","lecture","Legal Case","letter","Longitudinal Studies","Matched-Pair Analysis","Meta-analysis","Multicenter Study","news","Personal Narrative","portrait","Practice Guideline","Predictive Value of Tests","Prospective Studies","Random Allocation","Randomized Controlled Trial","Reproducibility of Results","Retrospective Studies","review","Systematic Reviews as Topic","Systematic Review","Twin Study","Validation Study"
37794830,0.0,0.0,0.0,0.0023,0.00064,0.2067,0.2429,0.0088,0.00037,0.00001,0.00002,0.00004,0.00039,0.00091,0.97,0.0357,0.00026,0.00038,0.0151,0.00016,0.00005,0.0119,0.00017,0.0019,0.00002,0.0,0.00017,0.00002,0.0,0.00013,0.00057,0.00003,0.00023,0.0901,0.00001,0.0,0.0,0.0,0.0254,0.6221,0.0129,0.0176,0.1326,0.0041,0.0385,0.0,0.00002,0.00003,0.0099
38173220,0.0,0.0,0.0,0.00045,0.00064,0.0017,0.00081,0.0063,0.00015,0.0,0.0,0.00002,0.0,0.1305,0.0,0.00016,0.00026,0.00019,0.0035,0.00016,0.0,0.0079,0.00004,0.0003,0.0,0.0,0.0021,0.0,0.0,0.00039,0.0909,0.00002,0.9147,0.0112,0.00001,0.0,0.0,0.0,0.2506,0.0026,0.00047,0.00006,0.0168,0.0054,0.8239,0.0024,1.0,0.00002,0.00022
38613791,0.0,0.0,0.00001,0.002,0.001,0.0071,0.075,0.0054,0.00023,0.00019,0.00002,0.00078,0.00064,0.0097,0.0,0.0013,0.00026,0.00038,0.0063,0.0031,0.00014,0.0017,0.00017,0.00045,0.0,0.0,0.00091,0.00002,0.00006,0.001,0.01,0.00002,0.0026,0.0063,0.00015,0.00003,0.0,0.00003,0.003,0.0053,0.0171,0.022,0.0167,0.0054,0.0062,0.00003,0.00002,0.00002,0.00044
38092268,0.00005,0.0,0.0001,0.0058,0.0023,0.0054,0.025,0.0088,0.0027,0.00001,0.00001,0.00023,0.00007,0.0041,0.0,0.0053,0.0017,0.0011,0.007,0.0544,0.00016,0.0017,0.00049,0.00067,0.0,0.00004,0.00039,0.00003,0.0,0.0025,0.0024,0.00006,0.00071,0.0047,0.00015,0.00076,0.00002,0.00004,0.0112,0.0026,0.0065,0.0016,0.005,0.0112,0.0013,0.00003,0.0,0.00004,0.0018
38393915,0.0,0.0,0.0,0.00045,0.001,0.00052,0.0031,0.0015,0.00015,0.00001,0.00002,0.0,0.00006,0.00026,0.0,0.0053,0.00021,0.00019,0.0016,0.00016,0.00005,0.0029,0.0,0.00045,0.0,0.0,0.00017,0.00002,0.0,0.0002,0.021,0.00023,0.00023,0.0029,0.00001,0.0,0.0,0.0,0.0028,0.0026,0.0236,0.00084,0.0227,0.00083,0.0035,0.0,0.0,0.00002,0.0011
37414586,0.0,0.0,0.0,0.00015,0.9313,0.0022,0.0,0.0,0.00015,0.0,0.0,0.0014,0.00002,0.0,0.0,0.00016,0.0,0.00019,0.0,0.00006,0.0,0.0415,0.0,0.00045,0.0,0.0,0.00034,0.0,0.0,0.0013,0.00034,0.0,0.0806,0.0,0.00001,0.0,0.0,0.00004,0.0079,0.0,0.00012,0.0,0.0027,0.00063,0.9021,0.00044,0.998,0.0,0.0
38378836,0.0,0.0,0.00001,0.0123,0.0042,0.0071,0.0087,0.0088,0.0012,0.00005,0.00003,0.00023,0.00006,0.0072,0.0,0.0013,0.0012,0.00038,0.0018,0.0031,0.00014,0.009,0.00005,0.0011,0.00002,0.0,0.00034,0.0006,0.0,0.0013,0.0017,0.00006,0.00029,0.0047,0.00015,0.00003,0.0,0.0,0.0019,0.02,0.0019,0.001,0.1121,0.0112,0.1176,0.00003,0.0,0.00008,0.0031
38538761,0.00003,0.00002,0.0037,0.0023,0.001,0.0022,0.006,0.0056,0.00062,0.00019,0.00003,0.00023,0.00006,0.005,0.0,0.00094,0.0019,0.00038,0.0025,0.0005,0.00016,0.0419,0.00005,0.003,0.00002,0.00004,0.00055,0.00003,0.00038,0.0039,0.01,0.00006,0.00071,0.0047,0.00024,0.0002,0.00022,0.00018,0.003,0.0026,0.0065,0.0012,0.0261,0.0014,0.0106,0.00003,0.0,0.00003,0.0018
37918702,0.00003,0.00002,0.00001,0.0029,0.00064,0.0061,0.0056,0.0049,0.00023,0.00005,0.00002,0.00004,0.00006,0.0023,0.0,0.00018,0.00068,0.00071,0.0025,0.00093,0.00014,0.0079,0.0005,0.003,0.00014,0.0,0.00091,0.00036,0.0,0.0032,0.0146,0.00002,0.00029,0.0063,0.00015,0.00003,0.00004,0.00018,0.0194,0.0064,0.0524,0.00054,0.1121,0.0059,0.049,0.00003,0.0,0.00016,0.00054
38122903,0.00005,0.00002,0.00018,0.006,0.001,0.0022,0.006,0.0049,0.00037,0.0,0.00002,0.00004,0.00006,0.0072,0.0,0.00018,0.00068,0.00017,0.0031,0.00034,0.00006,0.0035,0.00005,0.00045,0.00002,0.00004,0.00004,0.00024,0.0,0.00033,0.00077,0.00002,0.00023,0.0014,0.00009,0.00076,0.00004,0.00018,0.0028,0.0013,0.00099,0.00033,0.00099,0.0013,0.0385,0.0,0.00002,0.00043,0.00022
38212353,0.0,0.0,0.0,0.00093,0.001,0.1248,0.4424,0.00042,0.00023,0.0,0.00002,0.00023,0.0007,0.5981,0.0,0.2294,0.00026,0.00004,0.0018,0.00033,0.00016,0.0404,0.00004,0.00045,0.0,0.0,0.00034,0.00002,0.0,0.0018,0.0024,0.00017,0.00029,0.0197,0.00015,0.0,0.0,0.0,0.0655,0.0053,0.0072,0.5169,0.002,0.0054,0.0017,0.0,0.0,0.00002,0.00013
38029664,0.0,0.0,0.00007,0.0017,0.00049,0.00052,0.006,0.003,0.00015,0.00001,0.00002,0.00023,0.0007,0.0072,0.0,0.0013,0.00051,0.00075,0.0264,0.00024,0.00006,0.004,0.00017,0.00045,0.0,0.0,0.00034,0.00002,0.0,0.0022,0.0016,0.00006,0.00034,0.0047,0.00015,0.0,0.00013,0.00034,0.0028,0.0013,0.025,0.0012,0.0112,0.0052,0.0025,0.00003,0.0,0.00004,0.00061
38343329,0.0,0.0,0.0001,0.00045,0.0033,0.0835,0.0016,0.0022,0.00023,0.00001,0.00002,0.00078,0.00006,0.0039,0.0,0.00024,0.00068,0.0028,0.0107,0.00008,0.00002,0.0126,0.00095,0.00056,0.0,0.0,0.00009,0.00024,0.00006,0.00079,0.0012,0.00017,0.0196,0.0014,0.00009,0.0002,0.00004,0.0,0.0194,0.0013,0.00099,0.00027,0.0978,0.0316,0.9573,0.0622,0.9956,0.00004,0.00013
