,idx,year,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label,doi,labels_gs
94,95,3206,3206055,Sleep,The effect of total sleep deprivation on plasma melatonin and cortisol in healthy human volunteers.,"Twelve healthy volunteers were included in this study. Baseline curves for melatonin and cortisol were obtained after one night of adaptation to laboratory conditions. From 10:00 p.m. to 6:00 a.m., blood samples were drawn every hour. On the third night, the subjects were kept awake at the sleep unit. Curves for the two hormones were then obtained after 36 h of total sleep deprivation (SD). The levels of these hormones were evaluated by calculating the area under the curve at each hour in both situations (basal and after sleep deprivation). It was found that the melatonin levels were increased after sleep deprivation, whereas the cortisol levels remained the same. These results suggest a mechanism by which a reset of abnormal rhythms can occur in depression.",Remaining,0,0,doi_dummy,human
96,97,1972,19728219,Journal of psychosomatic obstetrics and gynaecology,Lifetime physical and sexual abuse and the risk for depression symptoms in the first 8 months after birth.,"Despite the growing body of evidence on the significance of postpartum depression, little research has explored the contribution of lifetime or current abuse to postpartum depression. One hundred-thirty-nine women were assessed during their third trimester of pregnancy and followed for 2, 4, 6, and 8 months postpartum for abuse status and depression symptoms. Predictors of postpartum depression were also assessed. Few women reported current abuse experiences, although 37% reported having lifetime physical or sexual abuse or both. Women with a lifetime history of abuse were 3.6-8.4 times more likely to experience postpartum depression than their nonabused peers at each measurement time. This effect steadily increases during the first 6 months after birth and decreases at the 8th month. These findings extend recent reports of the chronicity of abuse and have implications for care providers. The standard of care for abuse assessments may need to be expanded to include consideration of lifetime physical and sexual abuse experiences of pregnant and postpartum women.",Remaining,0,0,doi_dummy,human
99,100,1190,11904752,Acta neuropathologica,"Vascular fibrosis and calcification in the hippocampus in aging, Alzheimer disease, and Down syndrome.","Study of the hippocampal formation of 82 subjects, including 25 control subjects from 33 to 83 years of age, 34 subjects with Alzheimer disease (AD) from 65 to 89 years of age, and 23 subjects with Down syndrome (DS) from 33 to 72 years of age, revealed hippocampal vasculopathy with fibrosis and calcification (VFC) in 40% of control, 59% of AD, and 4% of DS subjects. VFC starts in the precapillaries/capillaries in the molecular layer of the dentate gyrus (DG) and expands to the granule cell and polymorphic cell layer of the DG, and to the stratum lacunosum/molecular in the CA1 sector. Vasculopathy spreads from the tail to the body and, in a few cases, to the head of the hippocampal formation. Light and electron microscopy reveal thickening of the vascular wall with fibrosis, calcification, and enforcement of the astrocyte interface with vessels with anchorage densities associated with hemidesmosome-like structures. In moderately and severely affected cases, fragmentation and removal of calcified and occluded vessels result in local reduction of vascular network. In two AD subjects, severe vascular calcification extending from the tail to the head of the hippocampal formation was associated with loss of almost all neurons in the CA1 sector and in the subiculum proper, corresponding to hippocampal sclerosis. The topography of affected vessels and the patterns of neuronal loss reflect the middle hippocampal artery distribution with its precapillary/capillary network. The similar prevalence of vasculopathy in the AD group and in the age-matched control group, and the presence of hippocampal VFC in only one subject in the DS cohort, 96% of which is affected by Alzheimer-type pathology, oppose the link between AD and this form of vasculopathy. However, severe VFC affects the pattern of AD pathology locally by deletion of neurofibrillary degeneration and beta-amyloidosis in the CA1 sector, subiculum proper, and the molecular layer of the dentate gyrus. Hippocampal VFC appears to be a form of vascular pathology with a unique predilection for the middle hippocampal artery and corresponding capillary network, which results in patchy neuronal loss in moderately affected subjects and in almost total neuronal loss in the area of impaired blood supply in severely affected subjects. These observations suggest an etiologic link between hippocampal VFC and hippocampal sclerosis.",Remaining,0,0,doi_dummy,human
109,110,2862,28627925,Experimental and clinical psychopharmacology,Will delay discounting predict intention to quit smoking?,"Intention to quit cigarette smoking is significantly associated with making quitting attempts and actual quitting. Delay discounting is significantly associated with smoking initiation and success in quitting. To our knowledge, no studies have investigated the relationship between delay discounting and intention to quit smoking. In 2 separate observational, cross-sectional studies, the current investigation examines the relationship between delay discounting and intention to quit smoking within groups of smokers. Experiment 1 used data collected online and an adjusting-delay discounting task; Experiment 2 used data collected in the laboratory and an adjusting-amount discounting task. A total of 242 participants and 142 participants completed the online and on laboratory experiments, respectively. In both studies, participants with higher intention to quit smoking had significantly lower rates of discounting. These associations between intention to quit smoking and rates of delay discounting further support recent characterizations of delay discounting as a candidate behavioral marker of addiction. Understanding cognitive factors affecting treatment initiation such as intention to change, and the effects of delay discounting on these factors, in addition to the mechanisms by which they influence treatment outcomes might be essential to developing, disseminating, and implementing treatment interventions. (PsycINFO Database Record",Remaining,0,0,doi_dummy,human
112,113,8264,8264869,Neuroendocrinology,Alpha-melanocyte-stimulating hormone is present in the inferior petrosal sinuses in patients with Cushing's disease.,"Plasma ACTH, beta-endorphin and alpha-melanocyte-stimulating hormone levels were evaluated in the inferior petrosal sinuses and in the periphery of 22 patients affected by Cushing's disease, 11 patients with other pituitary diseases subjected to simultaneous and bilateral inferior petrosal sinus sampling and in the peripheral blood of 15 normal subjects. In patients with Cushing's disease ACTH, beta-endorphin and alpha-melanocyte-stimulating hormone levels in the inferior petrosal sinus ipsilateral to the adenoma were significantly higher than in the periphery and in the contralateral inferior petrosal sinus (p < 0.01, p < 0.01 and p < 0.05, respectively). In patients with other pituitary diseases only ACTH and beta-endorphin, but not alpha-melanocyte-stimulating hormone levels in both inferior petrosal sinuses were significantly higher than in the periphery (p < 0.01). Furthermore, no difference was found in the peripheral blood among patients with Cushing's disease, patients with other pituitary diseases and normal subjects for ACTH and beta-endorphin level. By contrast, in patients with Cushing's disease peripheral alpha-melanocyte-stimulating hormone levels were significantly higher than in patients with other pituitary diseases and in normal subjects (p < 0.05). In conclusion, the results of the present study suggest that only in patients with Cushing's disease, but not in patients with other pituitary diseases, alpha-melanocyte-stimulating hormone is released by adenomatous pituitary corticotrophs together with ACTH and beta-endorphin.",Remaining,0,0,doi_dummy,human
119,120,1267,12679234,Biological psychiatry,The human dihydropyrimidinase-related protein 2 gene on chromosome 8p21 is associated with paranoid-type schizophrenia.,"The dihydropyrimidinase-related protein (DRP) family, also called the collapsin response mediator protein, is implicated in the developmental process of the nervous system. Dysfunction of DRPs may result in neurodevelopmental abnormalities, which may be a factor in the pathogenesis of schizophrenia. The expression of one member of DRP-2 in humans has been reported to be decreased in the brains of people with schizophrenia. In addition, the DRP-2 gene (Dihydropyrimidinase-like 2; DPYSL2) is located on chromosome 8p21, a region that has been implicated in schizophrenia in genetic linkage studies.	We investigated a genetic association between five polymorphisms of the DRP-2 gene and schizophrenia in the Japanese population.	The *2236T>C polymorphism in the 3' untranslated region (3'UTR) exhibited significant differences with respect to the distribution of the genotype and allele in patients compared with control subjects. The frequency of the *2236C allele was significantly higher in control subjects than patients with schizophrenia (p =.0097) and paranoid-type schizophrenia (p =.0083).	Our results suggest that the *2236C allele in the 3'UTR of the DRP-2 gene, or an unknown mutation in linkage disequilibrium with this allele, may reduce the susceptibility to schizophrenia, especially the paranoid subtype.",Remaining,0,0,doi_dummy,human
120,121,1673,16737451,"Alcoholism, clinical and experimental research",Cold pressor task reactivity: predictors of alcohol use among alcohol-dependent individuals with and without comorbid posttraumatic stress disorder.,"The association between stress and alcohol dependence has been well established. Abnormalities in stress reactivity and hypothalamic-pituitary-adrenal axis (HPA) function may be involved in the mechanistic connection between stress and the initiation, development, and/or maintenance of alcohol dependence. Posttraumatic stress disorder (PTSD) commonly co-occurs with alcohol dependence and is characterized by HPA axis abnormalities. This study investigated the relationship between subjective and neuroendocrine stress reactivity to the cold pressor task (CPT) and prospective alcohol use among individuals with alcohol dependence, with and without comorbid PTSD.	Participants were 63 individuals with (a) alcohol dependence only (n=35) or (b) comorbid alcohol dependence and PTSD (n=28). Participants completed the CPT, a widely used physical laboratory stressor. Subjective stress, craving, adrenocorticotrophin (ACTH), and cortisol were measured before, immediately after, and at 5, 30, 60, and 120 minutes after the CPT. Alcohol use during 1 month following testing was also assessed.	For the alcohol-only group, change in craving immediately following the CPT and craving during the 120-minute recovery phase were predictive of follow-up alcohol use. For the alcohol/PTSD group, change in craving was not predictive of follow-up use. Baseline drinking was, however, predictive of followup alcohol use for the alcohol/PTSD group. For the alcohol-only group, a blunted ACTH response coupled with a higher change in craving following the CPT was associated with significantly greater frequency and intensity of drinking during the follow-up phase.	These preliminary findings demonstrate significant differences between the alcohol-only and the alcohol/PTSD group in predictors of relapse. For the alcohol-only group, reactivity to an acute laboratory stressor may be predictive of subsequent alcohol use. This was not true for the alcohol/PTSD group. Although preliminary, the findings may help shed light on the mechanistic relationship between stress reactivity and increased risk for alcohol relapse and dependence in individuals with and without other Axis I comorbidity.",Remaining,0,0,doi_dummy,human
129,130,3046,30468246,Headache,Clinical Features Contributing to Cortical Thickness Changes in Chronic Migraine - A Pilot Study.,"The objectives of this cross-sectional pilot study were threefold: to identify regions of cortical thickness that differentiate chronic migraine (CM) from controls, to assess group differences in interregional cortical thickness covariance, and to determine group differences in associations between clinical variables and cortical thickness.	Cortical thickness alterations in relation to clinical features have not been adequately explored in CM. Assessment of this relationship can be useful to describe cortical substrates for disease progression in migraine and to identify clinical variables that warrant management emphasis.	Thirty CM cases (mean age 40 years; male-to-female 1:4) and 30 sex-matched healthy controls (mean age 40 years) were enrolled. Participants completed self-administered and standardized questionnaires assessing headache-related clinical features and common psychological comorbidities. T1-weighted brain images were acquired on a 3T MRI. A whole-brain cortical thickness analysis was performed. Additionally, correlations between all brain regions were assessed to examine interregional cortical thickness covariance. Interactions were analyzed to identify clinical variables that were significantly associated with cortical thickness.	The whole brain cortical thickness analysis revealed no significant differences between CM patients and controls. However, significant associations between clinical features and cortical thickness were observed for the patients only. These associations included the right superior temporal sulcus (R[2]  = 0.72, P = .001) and the right insula (R[2]  = 0.71, P = .002) with distinct clinical variables ie, longer history of CM, posttraumatic stress disorder (PTSD), sleep quality, pain self-efficacy, and somatic symptoms. Higher interregional cortical covariance was found in CM compared to controls (OR = 3.1, CI 2.10-4.56, P < .0001), such that cortical thickness between regions tended to be more correlated in patients, particularly in the temporal and frontal lobes.	CM patients have significantly greater cortical covariance compared to controls. Cortical thickness in CM patients was predominantly accounted for by CM duration, PTSD, and poor sleep quality, while improved pain self-efficacy buffered cortical thickness. While it is important to address all CM features and comorbidities, it may be useful to emphasize optimizing the management of certain clinical features that contribute to cortical abnormalities including managing PTSD, early management to shorten duration of CM, and improving pain self-efficacy and sleep quality.",Remaining,0,0,doi_dummy,human
130,131,3522,3522814,Journal of clinical hypertension,Common carotid blood flow in patients with hypertension and stenosis of the internal carotid artery.,"Common carotid blood flow has been measured using pulsed Doppler techniques in hypertensive patients over 45 years of age, with and without stenosis of the internal carotid artery. In hypertensive patients without stenosis, arterial diameter remained within the normal range, whereas blood flow velocity and blood flow were significantly reduced. Vascular resistance was significantly increased but did not change markedly after administration of the vasodilating drug isosorbid dinitrate. Patients with hypertension and stenosis of the internal carotid artery were compared with two different populations used as controls: In comparison with hypertensive patients without stenosis of the internal carotid artery, both arterial diameter and blood flow velocity were reduced, leading to a more pronounced decrease in blood flow; and in comparison with normotensive patients with stenosis of the internal carotid artery, common carotid blood flow was more reduced at any degree of stenosis. In a subset of patients, blood flow returned toward normal ranges after endarterectomy. The study suggested that in patients with hypertension without stenosis of the internal carotid artery, the decrease in blood flow is due to a decrease in blood flow velocity with normal arterial diameter despite the elevated blood pressure, and in patients with hypertension and stenosis of the internal carotid artery, blood flow was more reduced than in the normotensive patients with stenosis of the internal carotid artery, suggesting that caution must be taken with indications of antihypertensive treatment.",Remaining,0,0,doi_dummy,human
133,134,2195,21954106,Human brain mapping,Functional connectivity changes in multiple sclerosis patients: a graph analytical study of MEG resting state data.,"Multiple sclerosis (MS) is characterized by extensive damage in the central nervous system. Within this field, there is a strong need for more advanced, functional imaging measures, as abnormalities measured with structural imaging insufficiently explain clinicocognitive decline in MS. In this study we investigated functional connectivity changes in MS using resting-state magnetoencephalography (MEG). Data from 34 MS patients and 28 age and gender-matched controls was assessed using synchronization likelihood (SL) as a measure of functional interaction strength between brain regions, and graph analysis to characterize topological patterns of connectivity changes. Cognition was assessed using extensive neuropsychological evaluation. Structural measures included brain and lesion volumes, using MRI. Results show SL increases in MS patients in theta, lower alpha and beta bands, with decreases in the upper alpha band. Graph analysis revealed a more regular topology in the lower alpha band in patients, indicated by an increased path length (λ) and clustering coefficient (γ). Attention and working memory domains were impaired, with decreased brain volumes. A stepwise linear regression model using clinical, MRI and MEG parameters as predictors revealed that only increases in lower alpha band γ predicted impaired cognition. Cognitive impairments and related altered connectivity patterns were found to be especially predominant in male patients. These results show specific functional changes in MS as measured with MEG. Only changes in network topology were related to poorer cognitive outcome. This indicates the value of graph analysis beyond traditional structural and functional measures, with possible implications for diagnostic and/or prognostic purposes in MS.",Remaining,0,0,doi_dummy,human
