,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.1903114186851211,0.9166666666666666,0.31518624641833815,60.0,P1
Human-RCT-drug-intervention,0.3953488372093023,0.7391304347826086,0.5151515151515151,23.0,P1
Human-RCT-non-drug-intervention,0.6744186046511628,0.7631578947368421,0.7160493827160495,38.0,P1
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P1
Human-case-report,0.23030303030303031,0.991304347826087,0.37377049180327876,115.0,P1
Human-non-RCT-drug-intervention,0.5208333333333334,0.1937984496124031,0.2824858757062147,129.0,P1
Human-non-RCT-non-drug-intervention,0.12057877813504823,0.4807692307692308,0.19280205655526994,156.0,P1
Animal-systematic-review,0.0,0.0,0.0,0.0,P1
Animal-drug-intervention,0.5851851851851851,0.8144329896907216,0.6810344827586206,97.0,P1
Animal-non-drug-intervention,0.1956521739130435,0.3333333333333333,0.2465753424657534,27.0,P1
Animal-other,0.5517241379310345,0.3047619047619048,0.39263803680981596,105.0,P1
Non-systematic-review,0.7352941176470589,0.0778816199376947,0.1408450704225352,321.0,P1
In-vitro-study,0.5769230769230769,0.2777777777777778,0.375,54.0,P1
Clinical-study-protocol,0.03571428571428571,0.375,0.06521739130434782,8.0,P1
Remaining,0.5285714285714286,0.04312354312354312,0.07974137931034482,858.0,P1
micro avg,0.25801603206412826,0.2581453634085213,0.25808068153345026,1995.0,P1
macro avg,0.35605722721347405,0.42074254620125423,0.2917664847614722,1995.0,P1
weighted avg,0.5010436678132869,0.2581453634085213,0.20842953616362536,1995.0,P1
Human-systematic-review,0.10266159695817491,0.9,0.18430034129692835,60.0,P2
Human-RCT-drug-intervention,0.3333333333333333,0.6521739130434783,0.44117647058823534,23.0,P2
Human-RCT-non-drug-intervention,0.5357142857142857,0.7894736842105263,0.6382978723404255,38.0,P2
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P2
Human-case-report,0.1654357459379616,0.9739130434782609,0.2828282828282828,115.0,P2
Human-non-RCT-drug-intervention,0.4473684210526316,0.13178294573643412,0.20359281437125748,129.0,P2
Human-non-RCT-non-drug-intervention,0.19291338582677164,0.3141025641025641,0.23902439024390243,156.0,P2
Animal-systematic-review,0.0,0.0,0.0,0.0,P2
Animal-drug-intervention,0.5067567567567568,0.7731958762886598,0.6122448979591836,97.0,P2
Animal-non-drug-intervention,0.6666666666666666,0.14814814814814814,0.24242424242424243,27.0,P2
Animal-other,0.5454545454545454,0.34285714285714286,0.42105263157894735,105.0,P2
Non-systematic-review,0.7333333333333333,0.03426791277258567,0.06547619047619047,321.0,P2
In-vitro-study,0.5,0.16666666666666666,0.25,54.0,P2
Clinical-study-protocol,0.02586206896551724,0.375,0.04838709677419355,8.0,P2
Remaining,0.6190476190476191,0.015151515151515152,0.02957906712172924,858.0,P2
micro avg,0.2150753768844221,0.21453634085213033,0.2148055207026349,1995.0,P2
macro avg,0.3583031839365064,0.3744488941637321,0.24389228653356784,1995.0,P2
weighted avg,0.5309230661662383,0.21453634085213033,0.15637316209436292,1995.0,P2
