,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.11764705882352941,1.0,0.21052631578947367,2.0,P1
Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P1
Human-RCT-non-drug-intervention,1.0,1.0,1.0,1.0,P1
Human-RCT-non-intervention,0.0,0.0,0.0,0.0,P1
Human-case-report,0.16666666666666666,1.0,0.2857142857142857,2.0,P1
Human-non-RCT-drug-intervention,0.0,0.0,0.0,3.0,P1
Human-non-RCT-non-drug-intervention,0.16666666666666666,0.6666666666666666,0.26666666666666666,3.0,P1
Animal-systematic-review,0.0,0.0,0.0,0.0,P1
Animal-drug-intervention,0.5,1.0,0.6666666666666666,1.0,P1
Animal-non-drug-intervention,0.0,0.0,0.0,1.0,P1
Animal-other,0.0,0.0,0.0,2.0,P1
Non-systematic-review,0.0,0.0,0.0,6.0,P1
In-vitro-study,0.0,0.0,0.0,0.0,P1
Clinical-study-protocol,0.0,0.0,0.0,0.0,P1
Remaining,1.0,0.04,0.07692307692307693,25.0,P1
micro avg,0.18,0.1956521739130435,0.18749999999999997,46.0,P1
macro avg,0.19673202614379087,0.31377777777777777,0.16709980078401132,46.0,P1
weighted avg,0.5993179880647912,0.1956521739130435,0.11700488679893714,46.0,P1
Human-systematic-review,0.11764705882352941,1.0,0.21052631578947367,2.0,P2
Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P2
Human-RCT-non-drug-intervention,1.0,1.0,1.0,1.0,P2
Human-RCT-non-intervention,0.0,0.0,0.0,0.0,P2
Human-case-report,0.10526315789473684,1.0,0.1904761904761905,2.0,P2
Human-non-RCT-drug-intervention,0.0,0.0,0.0,3.0,P2
Human-non-RCT-non-drug-intervention,0.25,0.3333333333333333,0.28571428571428575,3.0,P2
Animal-systematic-review,0.0,0.0,0.0,0.0,P2
Animal-drug-intervention,0.5,1.0,0.6666666666666666,1.0,P2
Animal-non-drug-intervention,0.0,0.0,0.0,1.0,P2
Animal-other,1.0,0.5,0.6666666666666666,2.0,P2
Non-systematic-review,0.0,0.0,0.0,6.0,P2
In-vitro-study,0.0,0.0,0.0,0.0,P2
Clinical-study-protocol,0.0,0.0,0.0,0.0,P2
Remaining,0.0,0.0,0.0,25.0,P2
micro avg,0.16,0.17391304347826086,0.16666666666666666,46.0,P2
macro avg,0.1981940144478844,0.3222222222222222,0.20133667502088554,46.0,P2
weighted avg,0.10208305290079418,0.17391304347826086,0.10128582325378663,46.0,P2
Human-systematic-review,0.08695652173913043,1.0,0.16,2.0,P3
Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P3
Human-RCT-non-drug-intervention,0.5,1.0,0.6666666666666666,1.0,P3
Human-RCT-non-intervention,0.0,0.0,0.0,0.0,P3
Human-case-report,0.125,1.0,0.2222222222222222,2.0,P3
Human-non-RCT-drug-intervention,0.0,0.0,0.0,3.0,P3
Human-non-RCT-non-drug-intervention,0.0,0.0,0.0,3.0,P3
Animal-systematic-review,0.0,0.0,0.0,0.0,P3
Animal-drug-intervention,0.5,1.0,0.6666666666666666,1.0,P3
Animal-non-drug-intervention,0.0,0.0,0.0,1.0,P3
Animal-other,1.0,0.5,0.6666666666666666,2.0,P3
Non-systematic-review,0.0,0.0,0.0,6.0,P3
In-vitro-study,0.0,0.0,0.0,0.0,P3
Clinical-study-protocol,0.0,0.0,0.0,0.0,P3
Remaining,0.0,0.0,0.0,25.0,P3
micro avg,0.14,0.15217391304347827,0.14583333333333334,46.0,P3
macro avg,0.14746376811594203,0.3,0.1588148148148148,46.0,P3
weighted avg,0.07443289224952741,0.15217391304347827,0.07458937198067632,46.0,P3
Human-systematic-review,0.0,0.0,0.0,2.0,P4
Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P4
Human-RCT-non-drug-intervention,0.0,0.0,0.0,1.0,P4
Human-RCT-non-intervention,0.0,0.0,0.0,0.0,P4
Human-case-report,0.0,0.0,0.0,2.0,P4
Human-non-RCT-drug-intervention,0.0,0.0,0.0,3.0,P4
Human-non-RCT-non-drug-intervention,0.0,0.0,0.0,3.0,P4
Animal-systematic-review,0.0,0.0,0.0,0.0,P4
Animal-drug-intervention,0.0,0.0,0.0,1.0,P4
Animal-non-drug-intervention,0.0,0.0,0.0,1.0,P4
Animal-other,0.0,0.0,0.0,2.0,P4
Non-systematic-review,0.0,0.0,0.0,6.0,P4
In-vitro-study,0.0,0.0,0.0,0.0,P4
Clinical-study-protocol,0.0,0.0,0.0,0.0,P4
Remaining,1.0,0.2,0.33333333333333337,25.0,P4
micro avg,1.0,0.10869565217391304,0.19607843137254902,46.0,P4
macro avg,0.06666666666666667,0.013333333333333334,0.022222222222222223,46.0,P4
weighted avg,0.5434782608695652,0.10869565217391304,0.18115942028985507,46.0,P4
