,precision,recall,f1-score,support,Prompt ID
0 - Remaining,0.5,0.07692307692307693,0.13333333333333333,13.0,P1
1 - Non-systematic-review,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,P1
2 - Human-non-RCT-non-drug-intervention,0.21428571428571427,1.0,0.35294117647058826,3.0,P1
3 - Human-non-RCT-drug-intervention,0.5,0.3333333333333333,0.4,3.0,P1
4 - Human-case-report,0.42857142857142855,1.0,0.6,3.0,P1
5 - Animal-other,0.0,0.0,0.0,4.0,P1
6 - Animal-drug-intervention,0.4444444444444444,0.8,0.5714285714285714,5.0,P1
7 - Human-systematic-review,0.5,1.0,0.6666666666666666,2.0,P1
8 - In-vitro-study,1.0,0.3333333333333333,0.5,3.0,P1
9 - Human-RCT-non-drug-intervention,0.5,0.5,0.5,2.0,P1
10 - Animal-non-drug-intervention,0.0,0.0,0.0,2.0,P1
11 - Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P1
12 - Clinical-study-protocol,1.0,1.0,1.0,2.0,P1
13 - Human-RCT-non-intervention,0.0,0.0,0.0,2.0,P1
accuracy,0.4,0.4,0.4,0.4,P1
macro avg,0.41099773242630383,0.4554945054945055,0.3692010137388289,50.0,P1
weighted avg,0.46301587301587305,0.4,0.3429859943977591,50.0,P1
0 - Remaining,0.0,0.0,0.0,13.0,P2
1 - Non-systematic-review,0.0,0.0,0.0,6.0,P2
2 - Human-non-RCT-non-drug-intervention,0.14285714285714285,0.3333333333333333,0.2,3.0,P2
3 - Human-non-RCT-drug-intervention,0.0,0.0,0.0,3.0,P2
4 - Human-case-report,0.16666666666666666,0.6666666666666666,0.26666666666666666,3.0,P2
5 - Animal-other,0.0,0.0,0.0,4.0,P2
6 - Animal-drug-intervention,0.4444444444444444,0.8,0.5714285714285714,5.0,P2
7 - Human-systematic-review,0.25,1.0,0.4,2.0,P2
8 - In-vitro-study,0.5,0.3333333333333333,0.4,3.0,P2
9 - Human-RCT-non-drug-intervention,0.3333333333333333,0.5,0.4,2.0,P2
10 - Animal-non-drug-intervention,0.0,0.0,0.0,2.0,P2
11 - Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P2
12 - Clinical-study-protocol,0.5,1.0,0.6666666666666666,2.0,P2
13 - Human-RCT-non-intervention,0.0,0.0,0.0,2.0,P2
micro avg,0.2653061224489796,0.26,0.26262626262626265,50.0,P2
macro avg,0.1669501133786848,0.330952380952381,0.2074829931972789,50.0,P2
weighted avg,0.13634920634920633,0.26,0.16780952380952383,50.0,P2
0 - Remaining,0.0,0.0,0.0,13.0,P3
1 - Non-systematic-review,0.0,0.0,0.0,6.0,P3
2 - Human-non-RCT-non-drug-intervention,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0,P3
3 - Human-non-RCT-drug-intervention,0.5,0.3333333333333333,0.4,3.0,P3
4 - Human-case-report,0.2727272727272727,1.0,0.42857142857142855,3.0,P3
5 - Animal-other,0.5,0.25,0.3333333333333333,4.0,P3
6 - Animal-drug-intervention,0.5,1.0,0.6666666666666666,5.0,P3
7 - Human-systematic-review,0.3333333333333333,1.0,0.5,2.0,P3
8 - In-vitro-study,1.0,0.3333333333333333,0.5,3.0,P3
9 - Human-RCT-non-drug-intervention,0.5,0.5,0.5,2.0,P3
10 - Animal-non-drug-intervention,0.0,0.0,0.0,2.0,P3
11 - Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P3
12 - Clinical-study-protocol,0.6666666666666666,1.0,0.8,2.0,P3
13 - Human-RCT-non-intervention,0.0,0.0,0.0,2.0,P3
accuracy,0.36,0.36,0.36,0.36,P3
macro avg,0.32106782106782106,0.4345238095238095,0.3187074829931973,50.0,P3
weighted avg,0.2696969696969697,0.36,0.26504761904761903,50.0,P3
0 - Remaining,0.5,0.07692307692307693,0.13333333333333333,13.0,P4
1 - Non-systematic-review,0.625,0.8333333333333334,0.7142857142857143,6.0,P4
2 - Human-non-RCT-non-drug-intervention,0.0,0.0,0.0,3.0,P4
3 - Human-non-RCT-drug-intervention,1.0,0.3333333333333333,0.5,3.0,P4
4 - Human-case-report,0.75,1.0,0.8571428571428571,3.0,P4
5 - Animal-other,0.6666666666666666,0.5,0.5714285714285714,4.0,P4
6 - Animal-drug-intervention,0.8333333333333334,1.0,0.9090909090909091,5.0,P4
7 - Human-systematic-review,0.2857142857142857,1.0,0.4444444444444444,2.0,P4
8 - In-vitro-study,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,P4
9 - Human-RCT-non-drug-intervention,0.16666666666666666,0.5,0.25,2.0,P4
10 - Animal-non-drug-intervention,0.5,0.5,0.5,2.0,P4
11 - Human-RCT-drug-intervention,0.0,0.0,0.0,0.0,P4
12 - Clinical-study-protocol,1.0,1.0,1.0,2.0,P4
13 - Human-RCT-non-intervention,0.0,0.0,0.0,2.0,P4
accuracy,0.5,0.5,0.5,0.5,P4
macro avg,0.49957482993197283,0.5293040293040293,0.4675994640280355,50.0,P4
weighted avg,0.5647619047619048,0.5,0.4662106782106782,50.0,P4
