,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.5925925925925926,0.8,0.6808510638297872,60.0,P3_3
Human-RCT-drug-intervention,0.3902439024390244,0.6956521739130435,0.5000000000000001,23.0,P3_3
Human-RCT-non-drug-intervention,0.7027027027027027,0.6842105263157895,0.6933333333333334,38.0,P3_3
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P3_3
Human-case-report,0.2088724584103512,0.9826086956521739,0.3445121951219512,115.0,P3_3
Human-non-RCT-drug-intervention,0.5428571428571428,0.29457364341085274,0.3819095477386935,129.0,P3_3
Human-non-RCT-non-drug-intervention,0.15439856373429084,0.5512820512820513,0.24123422159887797,156.0,P3_3
Animal-systematic-review,0.0,0.0,0.0,0.0,P3_3
Animal-drug-intervention,0.6634615384615384,0.711340206185567,0.6865671641791045,97.0,P3_3
Animal-non-drug-intervention,0.296875,0.7037037037037037,0.4175824175824176,27.0,P3_3
Animal-other,0.5,0.4380952380952381,0.467005076142132,105.0,P3_3
Non-systematic-review,0.0,0.0,0.0,321.0,P3_3
In-vitro-study,0.5263157894736842,0.18518518518518517,0.273972602739726,54.0,P3_3
Clinical-study-protocol,0.35714285714285715,0.625,0.45454545454545453,8.0,P3_3
Remaining,0.7272727272727273,0.11188811188811189,0.19393939393939394,858.0,P3_3
micro avg,0.32592592592592595,0.28671679197994987,0.3050666666666667,1995.0,P3_3
macro avg,0.3775156850057941,0.4522359690421144,0.3556968313833914,1995.0,P3_3
weighted avg,0.48597420442213435,0.28671679197994987,0.25912464187595274,1995.0,P3_3
