,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.859375,0.9166666666666666,0.8870967741935484,60.0,P1
Human-RCT-drug-intervention,0.4791666666666667,1.0,0.647887323943662,23.0,P1
Human-RCT-non-drug-intervention,0.6981132075471698,0.9736842105263158,0.8131868131868132,38.0,P1
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P1
Human-case-report,0.2631578947368421,1.0,0.4166666666666667,115.0,P1
Human-non-RCT-drug-intervention,0.7142857142857143,0.31007751937984496,0.4324324324324324,129.0,P1
Human-non-RCT-non-drug-intervention,0.19065420560747665,0.6538461538461539,0.2952243125904487,156.0,P1
Animal-systematic-review,0.0,0.0,0.0,0.0,P1
Animal-drug-intervention,0.7142857142857143,0.7731958762886598,0.7425742574257426,97.0,P1
Animal-non-drug-intervention,0.14074074074074075,0.7037037037037037,0.23456790123456792,27.0,P1
Animal-other,0.0,0.0,0.0,105.0,P1
Non-systematic-review,0.7653429602888087,0.660436137071651,0.7090301003344481,321.0,P1
In-vitro-study,0.5967741935483871,0.6851851851851852,0.6379310344827587,54.0,P1
Clinical-study-protocol,0.07407407407407407,0.25,0.11428571428571428,8.0,P1
Remaining,0.6666666666666666,0.15151515151515152,0.2469135802469136,858.0,P1
micro avg,0.4243486973947896,0.4245614035087719,0.424455023803558,1995.0,P1
macro avg,0.4108424692298841,0.5385540402788889,0.4118531274015812,1995.0,P1
weighted avg,0.583879152839656,0.4245614035087719,0.4019848967203865,1995.0,P1
Human-systematic-review,0.7777777777777778,0.9333333333333333,0.8484848484848485,60.0,P2
Human-RCT-drug-intervention,0.4074074074074074,0.9565217391304348,0.5714285714285714,23.0,P2
Human-RCT-non-drug-intervention,0.6862745098039216,0.9210526315789473,0.7865168539325842,38.0,P2
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P2
Human-case-report,0.19230769230769232,1.0,0.32258064516129037,115.0,P2
Human-non-RCT-drug-intervention,0.673469387755102,0.2558139534883721,0.37078651685393255,129.0,P2
Human-non-RCT-non-drug-intervention,0.17984189723320157,0.5833333333333334,0.27492447129909364,156.0,P2
Animal-systematic-review,0.0,0.0,0.0,0.0,P2
Animal-drug-intervention,0.7755102040816326,0.7835051546391752,0.7794871794871796,97.0,P2
Animal-non-drug-intervention,0.16176470588235295,0.8148148148148148,0.26993865030674846,27.0,P2
Animal-other,0.25,0.009523809523809525,0.01834862385321101,105.0,P2
Non-systematic-review,0.8538812785388128,0.5825545171339563,0.6925925925925925,321.0,P2
In-vitro-study,0.4878048780487805,0.7407407407407407,0.588235294117647,54.0,P2
Clinical-study-protocol,0.16666666666666666,0.375,0.23076923076923078,8.0,P2
Remaining,0.5833333333333334,0.07342657342657342,0.13043478260869565,858.0,P2
micro avg,0.3727454909819639,0.37293233082706767,0.3728388874968679,1995.0,P2
macro avg,0.41306931592244545,0.5353080400762327,0.3923018840597083,1995.0,P2
weighted avg,0.5650509092869307,0.37293233082706767,0.33805883297938155,1995.0,P2
