,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.6,0.84375,0.7012987012987012,32.0,P6
Human-RCT-drug-intervention,0.38095238095238093,0.8,0.5161290322580645,10.0,P6
Human-RCT-non-drug-intervention,0.6666666666666666,0.5714285714285714,0.6153846153846153,21.0,P6
Human-RCT-non-intervention,0.0,0.0,0.0,3.0,P6
Human-case-report,0.26900584795321636,0.8679245283018868,0.41071428571428575,53.0,P6
Human-non-RCT-drug-intervention,0.627906976744186,0.38571428571428573,0.4778761061946903,70.0,P6
Human-non-RCT-non-drug-intervention,0.25396825396825395,0.5581395348837209,0.34909090909090906,86.0,P6
Animal-systematic-review,0.0,0.0,0.0,0.0,P6
Animal-drug-intervention,0.582089552238806,0.8297872340425532,0.6842105263157895,47.0,P6
Animal-non-drug-intervention,0.6428571428571429,0.5625,0.6000000000000001,16.0,P6
Animal-other,0.56,0.5384615384615384,0.5490196078431373,52.0,P6
Non-systematic-review,0.5272727272727272,0.20714285714285716,0.29743589743589743,140.0,P6
In-vitro-study,0.35714285714285715,0.18518518518518517,0.24390243902439024,27.0,P6
Clinical-study-protocol,0.0,0.0,0.0,2.0,P6
Remaining,0.7003257328990228,0.489749430523918,0.5764075067024129,439.0,P6
micro avg,0.4939879759519038,0.4939879759519038,0.4939879759519038,998.0,P6
macro avg,0.411212542579684,0.4559855443789677,0.40143130848419284,998.0,P6
weighted avg,0.5758813135361276,0.4939879759519038,0.49833980934594024,998.0,P6
