,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.5157894736842106,0.8166666666666667,0.6322580645161291,60.0,P11_4
Human-RCT-drug-intervention,0.425,0.7391304347826086,0.5396825396825397,23.0,P11_4
Human-RCT-non-drug-intervention,0.6410256410256411,0.6578947368421053,0.6493506493506495,38.0,P11_4
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P11_4
Human-case-report,0.2909604519774011,0.8956521739130435,0.43923240938166314,115.0,P11_4
Human-non-RCT-drug-intervention,0.5888888888888889,0.4108527131782946,0.48401826484018273,129.0,P11_4
Human-non-RCT-non-drug-intervention,0.2111650485436893,0.5576923076923077,0.30633802816901406,156.0,P11_4
Animal-systematic-review,0.0,0.0,0.0,0.0,P11_4
Animal-drug-intervention,0.5955882352941176,0.8350515463917526,0.6952789699570815,97.0,P11_4
Animal-non-drug-intervention,0.46153846153846156,0.4444444444444444,0.4528301886792453,27.0,P11_4
Animal-other,0.5087719298245614,0.5523809523809524,0.5296803652968036,105.0,P11_4
Non-systematic-review,0.6218487394957983,0.23052959501557632,0.33636363636363636,321.0,P11_4
In-vitro-study,0.64,0.2962962962962963,0.4050632911392405,54.0,P11_4
Clinical-study-protocol,0.5,0.5,0.5,8.0,P11_4
Remaining,0.6949152542372882,0.43006993006993005,0.5313174946004319,858.0,P11_4
micro avg,0.4749498997995992,0.47518796992481205,0.47506890503633176,1995.0,P11_4
macro avg,0.4463661416340038,0.4911107865115985,0.43342759346510784,1995.0,P11_4
weighted avg,0.584218342068823,0.47518796992481205,0.4815858603981903,1995.0,P11_4
