,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.14213197969543148,0.9333333333333333,0.24669603524229078,60.0,P7
Human-RCT-drug-intervention,0.3389830508474576,0.8695652173913043,0.4878048780487805,23.0,P7
Human-RCT-non-drug-intervention,0.5263157894736842,0.5263157894736842,0.5263157894736842,38.0,P7
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P7
Human-case-report,0.17293233082706766,1.0,0.2948717948717949,115.0,P7
Human-non-RCT-drug-intervention,0.4444444444444444,0.09302325581395349,0.15384615384615385,129.0,P7
Human-non-RCT-non-drug-intervention,0.13333333333333333,0.32051282051282054,0.18832391713747645,156.0,P7
Animal-systematic-review,0.0,0.0,0.0,0.0,P7
Animal-drug-intervention,0.5286624203821656,0.8556701030927835,0.6535433070866141,97.0,P7
Animal-non-drug-intervention,0.25,0.2222222222222222,0.23529411764705882,27.0,P7
Animal-other,0.48717948717948717,0.3619047619047619,0.4153005464480874,105.0,P7
Non-systematic-review,0.7692307692307693,0.06230529595015576,0.11527377521613832,321.0,P7
In-vitro-study,0.5925925925925926,0.2962962962962963,0.3950617283950617,54.0,P7
Clinical-study-protocol,0.05194805194805195,0.5,0.09411764705882353,8.0,P7
Remaining,0.5,0.026806526806526808,0.050884955752212385,858.0,P7
micro avg,0.23196392785571143,0.23208020050125314,0.23202204961162615,1995.0,P7
macro avg,0.32918361666363233,0.4045303748531895,0.25715564308161176,1995.0,P7
weighted avg,0.47712673814498296,0.23208020050125314,0.17306158564913274,1995.0,P7
Human-systematic-review,0.46938775510204084,0.7666666666666667,0.5822784810126582,60.0,P9
Human-RCT-drug-intervention,0.3673469387755102,0.782608695652174,0.5,23.0,P9
Human-RCT-non-drug-intervention,0.5714285714285714,0.7368421052631579,0.6436781609195403,38.0,P9
Human-RCT-non-intervention,0.0,0.0,0.0,4.0,P9
Human-case-report,0.1630901287553648,0.991304347826087,0.2800982800982801,115.0,P9
Human-non-RCT-drug-intervention,0.631578947368421,0.27906976744186046,0.3870967741935483,129.0,P9
Human-non-RCT-non-drug-intervention,0.16159250585480095,0.4423076923076923,0.23670668953687823,156.0,P9
Animal-systematic-review,0.0,0.0,0.0,0.0,P9
Animal-drug-intervention,0.6851851851851852,0.7628865979381443,0.7219512195121952,97.0,P9
Animal-non-drug-intervention,0.26865671641791045,0.6666666666666666,0.3829787234042553,27.0,P9
Animal-other,0.46601941747572817,0.45714285714285713,0.46153846153846156,105.0,P9
Non-systematic-review,0.4827586206896552,0.04361370716510903,0.08,321.0,P9
In-vitro-study,0.5357142857142857,0.2777777777777778,0.36585365853658536,54.0,P9
Clinical-study-protocol,0.15,0.375,0.21428571428571425,8.0,P9
Remaining,0.7391304347826086,0.07925407925407925,0.1431578947368421,858.0,P9
micro avg,0.3010928961748634,0.2761904761904762,0.2881045751633987,1995.0,P9
macro avg,0.37945930050333876,0.4440760640734849,0.3333082705183307,1995.0,P9
weighted avg,0.5642510001993053,0.2761904761904762,0.24500280595054288,1995.0,P9
