,precision,recall,f1-score,support,Prompt ID
Human-systematic-review,0.4782608695652174,0.7857142857142857,0.5945945945945946,28.0,P6
Human-RCT-drug-intervention,0.5789473684210527,0.8461538461538461,0.6875,13.0,P6
Human-RCT-non-drug-intervention,0.6470588235294118,0.6470588235294118,0.6470588235294118,17.0,P6
Human-RCT-non-intervention,0.0,0.0,0.0,1.0,P6
Human-case-report,0.34394904458598724,0.8709677419354839,0.4931506849315068,62.0,P6
Human-non-RCT-drug-intervention,0.6363636363636364,0.4745762711864407,0.5436893203883495,59.0,P6
Human-non-RCT-non-drug-intervention,0.2023121387283237,0.5,0.28806584362139914,70.0,P6
Animal-systematic-review,0.0,0.0,0.0,0.0,P6
Animal-drug-intervention,0.5833333333333334,0.84,0.6885245901639344,50.0,P6
Animal-non-drug-intervention,0.38461538461538464,0.45454545454545453,0.41666666666666663,11.0,P6
Animal-other,0.4482758620689655,0.49056603773584906,0.46846846846846846,53.0,P6
Non-systematic-review,0.7121212121212122,0.2596685082872928,0.38056680161943324,181.0,P6
In-vitro-study,0.75,0.2222222222222222,0.34285714285714286,27.0,P6
Clinical-study-protocol,0.75,0.5,0.6,6.0,P6
Remaining,0.6825396825396826,0.513126491646778,0.5858310626702997,419.0,P6
micro avg,0.5060120240480962,0.506519558676028,0.5062656641604011,997.0,P6
macro avg,0.47985182372481383,0.4936399788638043,0.44913159996741375,997.0,P6
weighted avg,0.6035445216882904,0.506519558676028,0.5119810541126253,997.0,P6
