class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.895,0.89,0.892,0.908,"(0.84, 0.932)","(0.834, 0.928)","(0.85, 0.934)","(0.876, 0.933)",172
Non-systematic-review,0.792,0.877,0.832,0.943,"(0.684, 0.869)","(0.775, 0.936)","(0.76, 0.904)","(0.916, 0.962)",65
Human-non-RCT-non-drug-intervention,0.741,0.625,0.678,0.953,"(0.553, 0.868)","(0.453, 0.771)","(0.54, 0.816)","(0.928, 0.97)",32
Human-non-RCT-drug-intervention,0.87,0.769,0.816,0.978,"(0.679, 0.955)","(0.579, 0.89)","(0.696, 0.937)","(0.958, 0.988)",26
Human-case-report,0.913,0.913,0.913,0.99,"(0.732, 0.976)","(0.732, 0.976)","(0.825, 1.001)","(0.975, 0.996)",23
Animal-other,0.667,0.857,0.75,0.97,"(0.478, 0.814)","(0.654, 0.95)","(0.612, 0.888)","(0.949, 0.983)",21
Animal-drug-intervention,0.778,0.7,0.737,0.975,"(0.548, 0.91)","(0.481, 0.855)","(0.578, 0.895)","(0.955, 0.987)",20
Human-systematic-review,0.8,1.0,0.889,0.993,"(0.548, 0.93)","(0.758, 1.0)","(0.762, 1.016)","(0.978, 0.997)",12
In-vitro-study,0.6,0.545,0.571,0.978,"(0.313, 0.832)","(0.28, 0.787)","(0.318, 0.824)","(0.958, 0.988)",11
Human-RCT-non-drug-intervention,0.889,1.0,0.941,0.998,"(0.565, 0.98)","(0.676, 1.0)","(0.824, 1.058)","(0.986, 1.0)",8
Animal-non-drug-intervention,1.0,0.333,0.5,0.99,"(0.342, 1.0)","(0.097, 0.7)","(0.076, 0.924)","(0.975, 0.996)",6
Human-RCT-drug-intervention,0.833,1.0,0.909,0.998,"(0.436, 0.97)","(0.566, 1.0)","(0.73, 1.088)","(0.986, 1.0)",5
Clinical-study-protocol,1.0,0.5,0.667,0.998,"(0.207, 1.0)","(0.095, 0.905)","(0.051, 1.283)","(0.986, 1.0)",2
Human-RCT-non-intervention,0.0,0.0,0.0,0.998,"(nan, nan)","(0.0, 0.793)","(0.0, 0.0)","(0.986, 1.0)",1
micro,0.834,0.834,0.834,,"(0.798, 0.87)","(0.798, 0.87)","(0.798, 0.87)",,404
macro,,0.715,0.721,,"(nan, nan)","(0.649, 0.781)","(0.691, 0.751)",,404
weighted avg,0.838,0.834,0.83,0.834,"(0.796, 0.868)","(0.795, 0.869)","(0.79, 0.866)","(0.797, 0.869)",404
accuracy,0.834,0.834,0.834,0.834,"(0.797, 0.869)","(0.797, 0.869)","(0.797, 0.869)","(0.797, 0.869)",404
