class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.869,0.884,0.876,0.894,"(0.811, 0.911)","(0.827, 0.923)","(0.832, 0.92)","(0.86, 0.92)",172
Non-systematic-review,0.8,0.862,0.83,0.943,"(0.692, 0.877)","(0.757, 0.925)","(0.757, 0.902)","(0.916, 0.962)",65
Human-non-RCT-non-drug-intervention,0.759,0.687,0.721,0.958,"(0.579, 0.878)","(0.514, 0.82)","(0.593, 0.85)","(0.934, 0.974)",32
Human-non-RCT-drug-intervention,0.833,0.769,0.8,0.975,"(0.641, 0.933)","(0.579, 0.89)","(0.676, 0.924)","(0.955, 0.987)",26
Human-case-report,0.955,0.913,0.933,0.993,"(0.782, 0.992)","(0.732, 0.976)","(0.855, 1.011)","(0.978, 0.997)",23
Animal-other,0.667,0.762,0.711,0.968,"(0.467, 0.82)","(0.549, 0.894)","(0.56, 0.863)","(0.946, 0.981)",21
Animal-drug-intervention,0.762,0.8,0.78,0.978,"(0.549, 0.894)","(0.584, 0.919)","(0.639, 0.922)","(0.958, 0.988)",20
Human-systematic-review,0.923,1.0,0.96,0.998,"(0.667, 0.986)","(0.758, 1.0)","(0.88, 1.04)","(0.986, 1.0)",12
In-vitro-study,0.714,0.455,0.556,0.98,"(0.359, 0.918)","(0.213, 0.72)","(0.28, 0.831)","(0.961, 0.99)",11
Human-RCT-non-drug-intervention,0.8,1.0,0.889,0.995,"(0.49, 0.943)","(0.676, 1.0)","(0.734, 1.044)","(0.982, 0.999)",8
Animal-non-drug-intervention,0.5,0.333,0.4,0.985,"(0.15, 0.85)","(0.097, 0.7)","(0.016, 0.784)","(0.968, 0.993)",6
Human-RCT-drug-intervention,1.0,1.0,1.0,1.0,"(0.566, 1.0)","(0.566, 1.0)","(1.0, 1.0)","(0.991, 1.0)",5
Clinical-study-protocol,0.0,0.0,0.0,0.995,"(nan, nan)","(0.0, 0.658)","(0.0, 0.0)","(0.982, 0.999)",2
Human-RCT-non-intervention,0.0,0.0,0.0,0.998,"(nan, nan)","(0.0, 0.793)","(0.0, 0.0)","(0.986, 1.0)",1
micro,0.829,0.829,0.829,,"(0.793, 0.866)","(0.793, 0.866)","(0.793, 0.866)",,404
macro,,0.676,0.675,,"(nan, nan)","(0.624, 0.728)","(0.645, 0.706)",,404
weighted avg,0.828,0.829,0.823,0.829,"(0.78, 0.859)","(0.79, 0.864)","(0.782, 0.86)","(0.79, 0.861)",404
accuracy,0.829,0.829,0.829,0.829,"(0.79, 0.861)","(0.79, 0.861)","(0.79, 0.861)","(0.79, 0.861)",404
