class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.881,0.86,0.871,0.918,"(0.823, 0.922)","(0.801, 0.904)","(0.827, 0.914)","(0.891, 0.938)",172
Non-systematic-review,0.8,0.907,0.85,0.955,"(0.703, 0.871)","(0.82, 0.954)","(0.787, 0.913)","(0.934, 0.97)",75
Human-non-RCT-non-drug-intervention,0.707,0.69,0.699,0.953,"(0.555, 0.824)","(0.54, 0.809)","(0.585, 0.812)","(0.932, 0.968)",42
Human-non-RCT-drug-intervention,0.839,0.722,0.776,0.972,"(0.674, 0.929)","(0.56, 0.842)","(0.664, 0.888)","(0.954, 0.983)",36
Human-case-report,0.909,0.909,0.909,0.989,"(0.764, 0.969)","(0.764, 0.969)","(0.834, 0.984)","(0.976, 0.995)",33
Animal-other,0.698,0.968,0.811,0.974,"(0.549, 0.814)","(0.838, 0.994)","(0.712, 0.91)","(0.956, 0.984)",31
Animal-drug-intervention,0.84,0.7,0.764,0.976,"(0.653, 0.936)","(0.521, 0.833)","(0.637, 0.89)","(0.959, 0.986)",30
Human-systematic-review,0.913,0.955,0.933,0.994,"(0.732, 0.976)","(0.782, 0.992)","(0.856, 1.011)","(0.984, 0.998)",22
In-vitro-study,1.0,0.571,0.727,0.983,"(0.758, 1.0)","(0.365, 0.755)","(0.556, 0.899)","(0.968, 0.991)",21
Human-RCT-non-drug-intervention,0.941,0.889,0.914,0.994,"(0.73, 0.99)","(0.672, 0.969)","(0.816, 1.013)","(0.984, 0.998)",18
Animal-non-drug-intervention,0.857,0.75,0.8,0.989,"(0.601, 0.96)","(0.505, 0.898)","(0.642, 0.958)","(0.976, 0.995)",16
Human-RCT-drug-intervention,0.778,0.933,0.848,0.991,"(0.548, 0.91)","(0.702, 0.988)","(0.716, 0.981)","(0.978, 0.996)",15
Clinical-study-protocol,1.0,1.0,1.0,1.0,"(0.758, 1.0)","(0.758, 1.0)","(1.0, 1.0)","(0.993, 1.0)",12
Human-RCT-non-intervention,0.667,0.727,0.696,0.987,"(0.391, 0.862)","(0.434, 0.903)","(0.48, 0.911)","(0.973, 0.994)",11
micro,0.837,0.837,0.837,,"(0.806, 0.868)","(0.806, 0.868)","(0.806, 0.868)",,534
macro,0.845,0.827,0.828,,"(0.803, 0.887)","(0.787, 0.867)","(0.803, 0.853)",,534
weighted avg,0.845,0.837,0.836,0.837,"(0.809, 0.869)","(0.803, 0.867)","(0.802, 0.865)","(0.803, 0.865)",534
accuracy,0.837,0.837,0.837,0.837,"(0.803, 0.865)","(0.803, 0.865)","(0.803, 0.865)","(0.803, 0.865)",534
