class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.814,0.837,0.825,0.886,"(0.75, 0.864)","(0.775, 0.885)","(0.777, 0.873)","(0.856, 0.91)",172
Non-systematic-review,0.841,0.773,0.806,0.948,"(0.737, 0.909)","(0.667, 0.853)","(0.732, 0.879)","(0.925, 0.963)",75
Human-non-RCT-non-drug-intervention,0.686,0.571,0.623,0.946,"(0.52, 0.814)","(0.422, 0.709)","(0.496, 0.751)","(0.923, 0.962)",42
Human-non-RCT-drug-intervention,0.778,0.778,0.778,0.97,"(0.619, 0.883)","(0.619, 0.883)","(0.67, 0.886)","(0.952, 0.981)",36
Human-case-report,0.935,0.879,0.906,0.989,"(0.793, 0.982)","(0.727, 0.952)","(0.829, 0.984)","(0.976, 0.995)",33
Animal-other,0.733,0.71,0.721,0.968,"(0.556, 0.858)","(0.534, 0.839)","(0.593, 0.85)","(0.95, 0.98)",31
Animal-drug-intervention,0.733,0.733,0.733,0.97,"(0.556, 0.858)","(0.556, 0.858)","(0.606, 0.86)","(0.952, 0.981)",30
Human-systematic-review,0.917,1.0,0.957,0.996,"(0.742, 0.977)","(0.851, 1.0)","(0.894, 1.019)","(0.986, 0.999)",22
In-vitro-study,0.625,0.714,0.667,0.972,"(0.427, 0.788)","(0.5, 0.862)","(0.507, 0.826)","(0.954, 0.983)",21
Human-RCT-non-drug-intervention,0.81,0.944,0.872,0.991,"(0.6, 0.923)","(0.742, 0.99)","(0.758, 0.985)","(0.978, 0.996)",18
Animal-non-drug-intervention,0.706,0.75,0.727,0.983,"(0.469, 0.867)","(0.505, 0.898)","(0.555, 0.9)","(0.968, 0.991)",16
Human-RCT-drug-intervention,0.7,0.933,0.8,0.987,"(0.481, 0.855)","(0.702, 0.988)","(0.654, 0.946)","(0.973, 0.994)",15
Clinical-study-protocol,0.923,1.0,0.96,0.998,"(0.667, 0.986)","(0.758, 1.0)","(0.88, 1.04)","(0.989, 1.0)",12
Human-RCT-non-intervention,0.571,0.364,0.444,0.981,"(0.25, 0.842)","(0.152, 0.646)","(0.158, 0.731)","(0.966, 0.99)",11
micro,0.792,0.792,0.792,,"(0.758, 0.827)","(0.758, 0.827)","(0.758, 0.827)",,534
macro,0.769,0.785,0.773,,"(0.726, 0.812)","(0.748, 0.822)","(0.747, 0.798)",,534
weighted avg,0.791,0.792,0.789,0.792,"(0.748, 0.82)","(0.757, 0.826)","(0.752, 0.822)","(0.757, 0.826)",534
accuracy,0.792,0.792,0.792,0.792,"(0.757, 0.826)","(0.757, 0.826)","(0.757, 0.826)","(0.757, 0.826)",534
