class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.867,0.913,0.89,0.927,"(0.81, 0.909)","(0.861, 0.946)","(0.849, 0.93)","(0.902, 0.946)",172
Non-systematic-review,0.886,0.933,0.909,0.974,"(0.797, 0.939)","(0.853, 0.971)","(0.858, 0.961)","(0.956, 0.984)",75
Human-non-RCT-non-drug-intervention,0.735,0.595,0.658,0.951,"(0.569, 0.854)","(0.445, 0.73)","(0.534, 0.782)","(0.93, 0.967)",42
Human-non-RCT-drug-intervention,0.828,0.667,0.738,0.968,"(0.655, 0.924)","(0.503, 0.798)","(0.617, 0.86)","(0.95, 0.98)",36
Human-case-report,0.935,0.879,0.906,0.989,"(0.793, 0.982)","(0.727, 0.952)","(0.829, 0.984)","(0.976, 0.995)",33
Animal-other,0.757,0.903,0.824,0.978,"(0.599, 0.866)","(0.751, 0.967)","(0.723, 0.924)","(0.961, 0.987)",31
Animal-drug-intervention,0.862,0.833,0.847,0.983,"(0.694, 0.945)","(0.664, 0.927)","(0.747, 0.948)","(0.968, 0.991)",30
Human-systematic-review,0.917,1.0,0.957,0.996,"(0.742, 0.977)","(0.851, 1.0)","(0.894, 1.019)","(0.986, 0.999)",22
In-vitro-study,0.882,0.714,0.789,0.985,"(0.657, 0.967)","(0.5, 0.862)","(0.646, 0.933)","(0.971, 0.992)",21
Human-RCT-non-drug-intervention,0.81,0.944,0.872,0.991,"(0.6, 0.923)","(0.742, 0.99)","(0.758, 0.985)","(0.978, 0.996)",18
Animal-non-drug-intervention,1.0,0.812,0.897,0.994,"(0.772, 1.0)","(0.57, 0.934)","(0.779, 1.015)","(0.984, 0.998)",16
Human-RCT-drug-intervention,0.737,0.933,0.824,0.989,"(0.512, 0.882)","(0.702, 0.988)","(0.683, 0.964)","(0.976, 0.995)",15
Clinical-study-protocol,1.0,0.917,0.957,0.998,"(0.741, 1.0)","(0.646, 0.985)","(0.87, 1.043)","(0.989, 1.0)",12
Human-RCT-non-intervention,0.556,0.455,0.5,0.981,"(0.267, 0.811)","(0.213, 0.72)","(0.232, 0.768)","(0.966, 0.99)",11
micro,0.852,0.852,0.852,,"(0.822, 0.882)","(0.822, 0.882)","(0.822, 0.882)",,534
macro,0.841,0.821,0.826,,"(0.795, 0.886)","(0.787, 0.855)","(0.801, 0.851)",,534
weighted avg,0.852,0.852,0.849,0.852,"(0.816, 0.877)","(0.82, 0.88)","(0.815, 0.878)","(0.82, 0.88)",534
accuracy,0.852,0.852,0.852,0.852,"(0.82, 0.88)","(0.82, 0.88)","(0.82, 0.88)","(0.82, 0.88)",534
