class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.881,0.814,0.846,0.904,"(0.821, 0.922)","(0.749, 0.865)","(0.799, 0.893)","(0.877, 0.927)",172
Non-systematic-review,0.883,0.907,0.895,0.97,"(0.793, 0.937)","(0.82, 0.954)","(0.839, 0.95)","(0.952, 0.981)",75
Human-non-RCT-non-drug-intervention,0.62,0.738,0.674,0.944,"(0.482, 0.741)","(0.589, 0.847)","(0.563, 0.785)","(0.921, 0.96)",42
Human-non-RCT-drug-intervention,0.793,0.639,0.708,0.964,"(0.616, 0.902)","(0.476, 0.775)","(0.581, 0.834)","(0.945, 0.977)",36
Human-case-report,0.933,0.848,0.889,0.987,"(0.787, 0.982)","(0.691, 0.933)","(0.805, 0.973)","(0.973, 0.994)",33
Animal-other,0.765,0.839,0.8,0.976,"(0.6, 0.876)","(0.674, 0.929)","(0.692, 0.908)","(0.959, 0.986)",31
Animal-drug-intervention,0.812,0.867,0.839,0.981,"(0.647, 0.911)","(0.703, 0.947)","(0.738, 0.94)","(0.966, 0.99)",30
Human-systematic-review,0.917,1.0,0.957,0.996,"(0.742, 0.977)","(0.851, 1.0)","(0.894, 1.019)","(0.986, 0.999)",22
In-vitro-study,0.654,0.81,0.723,0.976,"(0.462, 0.806)","(0.6, 0.923)","(0.578, 0.869)","(0.959, 0.986)",21
Human-RCT-non-drug-intervention,0.85,0.944,0.895,0.993,"(0.64, 0.948)","(0.742, 0.99)","(0.79, 0.999)","(0.981, 0.997)",18
Animal-non-drug-intervention,1.0,0.75,0.857,0.993,"(0.758, 1.0)","(0.505, 0.898)","(0.717, 0.997)","(0.981, 0.997)",16
Human-RCT-drug-intervention,0.778,0.933,0.848,0.991,"(0.548, 0.91)","(0.702, 0.988)","(0.716, 0.981)","(0.978, 0.996)",15
Clinical-study-protocol,1.0,1.0,1.0,1.0,"(0.758, 1.0)","(0.758, 1.0)","(1.0, 1.0)","(0.993, 1.0)",12
Human-RCT-non-intervention,0.636,0.636,0.636,0.985,"(0.354, 0.848)","(0.354, 0.848)","(0.401, 0.871)","(0.971, 0.992)",11
micro,0.83,0.83,0.83,,"(0.798, 0.861)","(0.798, 0.861)","(0.798, 0.861)",,534
macro,0.823,0.838,0.826,,"(0.791, 0.855)","(0.793, 0.882)","(0.801, 0.851)",,534
weighted avg,0.837,0.83,0.83,0.83,"(0.801, 0.862)","(0.796, 0.86)","(0.797, 0.86)","(0.796, 0.86)",534
accuracy,0.83,0.83,0.83,0.83,"(0.796, 0.86)","(0.796, 0.86)","(0.796, 0.86)","(0.796, 0.86)",534
