class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.876,0.86,0.868,0.916,"(0.818, 0.917)","(0.801, 0.904)","(0.824, 0.912)","(0.889, 0.936)",172
Non-systematic-review,0.89,0.867,0.878,0.966,"(0.798, 0.943)","(0.772, 0.926)","(0.819, 0.938)","(0.947, 0.979)",75
Human-non-RCT-non-drug-intervention,0.707,0.69,0.699,0.953,"(0.555, 0.824)","(0.54, 0.809)","(0.585, 0.812)","(0.932, 0.968)",42
Human-non-RCT-drug-intervention,0.806,0.694,0.746,0.968,"(0.637, 0.908)","(0.531, 0.82)","(0.628, 0.864)","(0.95, 0.98)",36
Human-case-report,0.861,0.939,0.899,0.987,"(0.713, 0.939)","(0.804, 0.983)","(0.821, 0.976)","(0.973, 0.994)",33
Animal-other,0.703,0.839,0.765,0.97,"(0.542, 0.825)","(0.674, 0.929)","(0.651, 0.878)","(0.952, 0.981)",31
Animal-drug-intervention,0.781,0.833,0.806,0.978,"(0.612, 0.89)","(0.664, 0.927)","(0.697, 0.916)","(0.961, 0.987)",30
Human-systematic-review,0.786,1.0,0.88,0.989,"(0.605, 0.898)","(0.851, 1.0)","(0.783, 0.977)","(0.976, 0.995)",22
In-vitro-study,0.867,0.619,0.722,0.981,"(0.621, 0.963)","(0.409, 0.792)","(0.556, 0.888)","(0.966, 0.99)",21
Human-RCT-non-drug-intervention,0.941,0.889,0.914,0.994,"(0.73, 0.99)","(0.672, 0.969)","(0.816, 1.013)","(0.984, 0.998)",18
Animal-non-drug-intervention,0.917,0.687,0.786,0.989,"(0.646, 0.985)","(0.444, 0.858)","(0.617, 0.954)","(0.976, 0.995)",16
Human-RCT-drug-intervention,0.684,0.867,0.765,0.985,"(0.46, 0.846)","(0.621, 0.963)","(0.605, 0.924)","(0.971, 0.992)",15
Clinical-study-protocol,0.917,0.917,0.917,0.996,"(0.646, 0.985)","(0.646, 0.985)","(0.8, 1.033)","(0.986, 0.999)",12
Human-RCT-non-intervention,0.5,0.545,0.522,0.979,"(0.254, 0.746)","(0.28, 0.787)","(0.274, 0.77)","(0.963, 0.988)",11
micro,0.826,0.826,0.826,,"(0.794, 0.858)","(0.794, 0.858)","(0.794, 0.858)",,534
macro,0.803,0.803,0.798,,"(0.759, 0.846)","(0.76, 0.847)","(0.772, 0.823)",,534
weighted avg,0.831,0.826,0.825,0.826,"(0.793, 0.857)","(0.792, 0.856)","(0.791, 0.857)","(0.792, 0.856)",534
accuracy,0.826,0.826,0.826,0.826,"(0.792, 0.856)","(0.792, 0.856)","(0.792, 0.856)","(0.792, 0.856)",534
