class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.849,0.849,0.849,0.903,"(0.788, 0.895)","(0.788, 0.895)","(0.803, 0.895)","(0.875, 0.925)",172
Non-systematic-review,0.821,0.92,0.868,0.961,"(0.726, 0.889)","(0.836, 0.963)","(0.808, 0.928)","(0.941, 0.974)",75
Human-non-RCT-non-drug-intervention,0.657,0.548,0.597,0.942,"(0.492, 0.792)","(0.399, 0.688)","(0.467, 0.727)","(0.919, 0.959)",42
Human-non-RCT-drug-intervention,0.722,0.722,0.722,0.963,"(0.56, 0.842)","(0.56, 0.842)","(0.604, 0.84)","(0.943, 0.976)",36
Human-case-report,0.909,0.909,0.909,0.989,"(0.764, 0.969)","(0.764, 0.969)","(0.834, 0.984)","(0.976, 0.995)",33
Animal-other,0.806,0.806,0.806,0.978,"(0.637, 0.908)","(0.637, 0.908)","(0.697, 0.916)","(0.961, 0.987)",31
Animal-drug-intervention,0.743,0.867,0.8,0.976,"(0.579, 0.858)","(0.703, 0.947)","(0.692, 0.908)","(0.959, 0.986)",30
Human-systematic-review,0.875,0.955,0.913,0.993,"(0.69, 0.957)","(0.782, 0.992)","(0.826, 1.0)","(0.981, 0.997)",22
In-vitro-study,0.786,0.524,0.629,0.976,"(0.524, 0.924)","(0.324, 0.717)","(0.441, 0.816)","(0.959, 0.986)",21
Human-RCT-non-drug-intervention,0.762,0.889,0.821,0.987,"(0.549, 0.894)","(0.672, 0.969)","(0.688, 0.953)","(0.973, 0.994)",18
Animal-non-drug-intervention,0.818,0.562,0.667,0.983,"(0.523, 0.949)","(0.332, 0.769)","(0.461, 0.872)","(0.968, 0.991)",16
Human-RCT-drug-intervention,0.765,0.867,0.812,0.989,"(0.527, 0.904)","(0.621, 0.963)","(0.664, 0.961)","(0.976, 0.995)",15
Clinical-study-protocol,0.923,1.0,0.96,0.998,"(0.667, 0.986)","(0.758, 1.0)","(0.88, 1.04)","(0.989, 1.0)",12
Human-RCT-non-intervention,0.5,0.364,0.421,0.979,"(0.215, 0.785)","(0.152, 0.646)","(0.142, 0.7)","(0.963, 0.988)",11
micro,0.807,0.807,0.807,,"(0.774, 0.841)","(0.774, 0.841)","(0.774, 0.841)",,534
macro,0.781,0.77,0.77,,"(0.734, 0.828)","(0.733, 0.807)","(0.744, 0.795)",,534
weighted avg,0.804,0.807,0.802,0.807,"(0.762, 0.833)","(0.772, 0.839)","(0.766, 0.836)","(0.772, 0.839)",534
accuracy,0.807,0.807,0.807,0.807,"(0.772, 0.839)","(0.772, 0.839)","(0.772, 0.839)","(0.772, 0.839)",534
