class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support
Remaining,0.887,0.866,0.876,0.921,"(0.83, 0.926)","(0.807, 0.909)","(0.834, 0.919)","(0.895, 0.941)",172
Non-systematic-review,0.92,0.92,0.92,0.978,"(0.836, 0.963)","(0.836, 0.963)","(0.871, 0.969)","(0.961, 0.987)",75
Human-non-RCT-non-drug-intervention,0.682,0.714,0.698,0.951,"(0.534, 0.8)","(0.564, 0.828)","(0.586, 0.81)","(0.93, 0.967)",42
Human-non-RCT-drug-intervention,0.853,0.806,0.829,0.978,"(0.699, 0.936)","(0.65, 0.902)","(0.731, 0.926)","(0.961, 0.987)",36
Human-case-report,0.914,0.97,0.941,0.993,"(0.776, 0.97)","(0.847, 0.995)","(0.881, 1.001)","(0.981, 0.997)",33
Animal-other,0.765,0.839,0.8,0.976,"(0.6, 0.876)","(0.674, 0.929)","(0.692, 0.908)","(0.959, 0.986)",31
Animal-drug-intervention,0.828,0.8,0.814,0.979,"(0.655, 0.924)","(0.627, 0.905)","(0.703, 0.924)","(0.963, 0.988)",30
Human-systematic-review,0.875,0.955,0.913,0.993,"(0.69, 0.957)","(0.782, 0.992)","(0.826, 1.0)","(0.981, 0.997)",22
In-vitro-study,0.8,0.762,0.78,0.983,"(0.584, 0.919)","(0.549, 0.894)","(0.639, 0.922)","(0.968, 0.991)",21
Human-RCT-non-drug-intervention,0.895,0.944,0.919,0.994,"(0.686, 0.971)","(0.742, 0.99)","(0.825, 1.012)","(0.984, 0.998)",18
Animal-non-drug-intervention,0.857,0.75,0.8,0.989,"(0.601, 0.96)","(0.505, 0.898)","(0.642, 0.958)","(0.976, 0.995)",16
Human-RCT-drug-intervention,0.824,0.933,0.875,0.993,"(0.59, 0.938)","(0.702, 0.988)","(0.752, 0.998)","(0.981, 0.997)",15
Clinical-study-protocol,1.0,1.0,1.0,1.0,"(0.758, 1.0)","(0.758, 1.0)","(1.0, 1.0)","(0.993, 1.0)",12
Human-RCT-non-intervention,0.667,0.545,0.6,0.985,"(0.354, 0.879)","(0.28, 0.787)","(0.346, 0.854)","(0.971, 0.992)",11
micro,0.856,0.856,0.856,,"(0.826, 0.886)","(0.826, 0.886)","(0.826, 0.886)",,534
macro,0.84,0.843,0.84,,"(0.797, 0.884)","(0.802, 0.885)","(0.815, 0.865)",,534
weighted avg,0.856,0.856,0.855,0.856,"(0.821, 0.881)","(0.824, 0.884)","(0.823, 0.883)","(0.824, 0.884)",534
accuracy,0.856,0.856,0.856,0.856,"(0.824, 0.884)","(0.824, 0.884)","(0.824, 0.884)","(0.824, 0.884)",534
